№,Title,Artist,Top_Tags
1,"""Irreplaceable""",Beyoncé,"rnb, pop, female vocalists"
2,"""Umbrella""",Rihanna featuring Jay-Z,"pop, rnb, female vocalists"
3,"""The Sweet Escape""",Gwen Stefani featuring Akon,"pop, female vocalists, dance"
4,"""Big Girls Don't Cry""",Fergie,"pop, rnb, female vocalists"
5,"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,"rnb, Hip-Hop, rap"
6,"""Before He Cheats""",Carrie Underwood,"country, female vocalists, pop"
7,"""Hey There Delilah""",Plain White T's,"indie, rock, pop punk"
8,"""I Wanna Love You""",Akon featuring Snoop Dogg,"rap, hip hop, pop"
9,"""Say It Right""",Nelly Furtado,"pop, female vocalists, Canadian"
10,"""Glamorous""",Fergie featuring Ludacris,"pop, rnb, female vocalists"
11,"""Don't Matter""",Akon,"Hip-Hop, rnb, rap"
12,"""Girlfriend""",Avril Lavigne,"pop, pop rock, rock"
13,"""Makes Me Wonder""",Maroon 5,"pop, pop rock, rock"
14,"""Party Like a Rockstar""",Shop Boyz,"Hip-Hop, rap, Dirty South"
15,"""Smack That""",Akon featuring Eminem,"Hip-Hop, rnb, rap"
16,"""This Is Why I'm Hot""",Mims,"Hip-Hop, rap, hip hop"
17,"""It's Not Over""",Daughtry,"rock, alternative rock, alternative"
18,"""The Way I Are""",Timbaland featuring Keri Hilson,"Hip-Hop, rnb, rap"
19,"""Fergalicious""",Fergie featuring will.i.am,"pop, rnb, female vocalists"
20,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,"Hip-Hop, rap, Crunk"
21,"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,Unknown
22,"""What Goes Around... Comes Around""",Justin Timberlake,"pop, rnb, dance"
23,"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,"Hip-Hop, indie, alternative"
24,"""How to Save a Life""",The Fray,"alternative, rock, piano rock"
25,"""Home""",Daughtry,"rock, alternative rock, alternative"
26,"""My Love""",Justin Timberlake featuring T.I.,"pop, rnb, dance"
27,"""Stronger""",Kanye West,"Hip-Hop, rap, hip hop"
28,"""We Fly High""",Jim Jones,"rap, Hip-Hop, Dipset"
29,"""U + Ur Hand""",Pink,"pop, female vocalists, pop rock"
30,"""Walk It Out""",Unk,"Hip-Hop, Dirty South, rap"
31,"""Beautiful Girls""",Sean Kingston,"rnb, Hip-Hop, reggae"
32,"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,"pop punk, rock, emo"
33,"""Bartender""",T-Pain featuring Akon,"T-Pain, Hip-Hop, hip hop"
34,"""Pop, Lock & Drop It""",Huey,"rap, Hip-Hop, hip hop"
35,"""Runaway Love""",Ludacris featuring Mary J. Blige,Unknown
36,"""Rockstar""",Nickelback,"rock, alternative rock, hard rock"
37,"""Thnks fr th Mmrs""",Fall Out Boy,"pop punk, rock, emo"
38,"""What I've Done""",Linkin Park,"rock, Nu Metal, alternative rock"
39,"""Summer Love""",Justin Timberlake,"pop, rnb, dance"
40,"""You""",Lloyd featuring Lil Wayne,Unknown
41,"""Wait for You""",Elliott Yamin,"pop, American Idol, soul"
42,"""Last Night""",Diddy featuring Keyshia Cole,"rnb, hip hop, pop"
43,"""Make It Rain""",Fat Joe featuring Lil Wayne,"rap, Hip-Hop, Dirty South"
44,"""Make Me Better""",Fabolous featuring Ne-Yo,"Hip-Hop, rap, hip hop"
45,"""Ice Box""",Omarion,"rnb, Hip-Hop, Omarion"
46,"""Lips of an Angel""",Hinder,"rock, alternative rock, post-grunge"
47,"""Waiting on the World to Change""",John Mayer,"singer-songwriter, acoustic, rock"
48,"""Lost Without U""",Robin Thicke,"soul, rnb, pop"
49,"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,Unknown
50,"""If Everyone Cared""",Nickelback,"rock, alternative rock, hard rock"
51,"""Get It Shawty""",Lloyd,"rnb, Hip-Hop, lloyd"
52,"""Face Down""",The Red Jumpsuit Apparatus,"alternative, emo, rock"
53,"""The Way I Live""",Baby Boy da Prince,"rap, Hip-Hop, rnb"
54,"""Shortie Like Mine""",Bow Wow featuring Chris Brown and Johntá Austin,Unknown
55,"""It Ends Tonight""",The All-American Rejects,"rock, alternative, pop punk"
56,"""A Bay Bay""",Hurricane Chris,"rap, Hip-Hop, Dirty South"
57,"""Because of You""",Ne-Yo,"rnb, soul, Hip-Hop"
58,"""I Tried""",Bone Thugs-n-Harmony featuring Akon,"Hip-Hop, rap, Gangsta Rap"
59,"""Welcome To The Black Parade""",My Chemical Romance,"rock, emo, alternative"
60,"""Shawty""",Plies featuring T-Pain,Alta-tensao
61,"""Chasing Cars""",Snow Patrol,chas
62,"""Beautiful Liar""",Beyoncé and Shakira,"rnb, pop, female vocalists"
63,"""SexyBack""",Justin Timberlake featuring Timbaland,"pop, rnb, dance"
64,"""Keep Holding On""",Avril Lavigne,"pop, pop rock, rock"
65,"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,Unknown
66,"""Apologize""",OneRepublic,"rock, pop rock, alternative"
67,"""Bubbly""",Colbie Caillat,"female vocalists, pop, acoustic"
68,"""Like a Boy""",Ciara,"rnb, Hip-Hop, pop"
69,"""Who Knew""",Pink,"pop, female vocalists, pop rock"
70,"""Never Again""",Kelly Clarkson,"pop, female vocalists, pop rock"
71,"""Promise""",Ciara,"rnb, Hip-Hop, pop"
72,"""Bed""",J. Holiday,"rnb, soul, male vocalists"
73,"""Throw Some D's""",Rich Boy featuring Polow da Don,"rap, Hip-Hop, Dirty South"
74,"""Rehab""",Amy Winehouse,"soul, jazz, female vocalists"
75,"""Big Shit Poppin' (Do It)""",T.I.,"Hip-Hop, rap, Dirty South"
76,"""No One""",Alicia Keys,"soul, rnb, female vocalists"
77,"""The Great Escape""",Boys Like Girls,"pop punk, alternative, rock"
78,"""2 Step""",Unk,"Hip-Hop, Dirty South, rap"
79,"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,Unknown
80,"""Go Getta""",Young Jeezy featuring R. Kelly,"rap, Hip-Hop, Dirty South"
81,"""Here (In Your Arms)""",Hellogoodbye,"indie, powerpop, seen live"
82,"""On the Hotline""",Pretty Ricky,"rnb, Hip-Hop, rap"
83,"""Wind It Up""",Gwen Stefani,"pop, female vocalists, dance"
84,"""Cyclone""",Baby Bash featuring T-Pain,"Hip-Hop, rnb, rap"
85,"""Break It Off""",Rihanna featuring Sean Paul,"pop, rnb, female vocalists"
86,"""First Time""",Lifehouse,"rock, alternative rock, alternative"
87,"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,"Hip-Hop, rnb, rap"
88,"""Outta My System""",Bow Wow featuring T-Pain and Johntá Austin,Unknown
89,"""Teardrops on My Guitar""",Taylor Swift,"country, pop, female vocalists"
90,"""Shut Up and Drive""",Rihanna,"pop, rnb, female vocalists"
91,"""Snow (Hey Oh)""",Red Hot Chili Peppers,"rock, alternative rock, alternative"
92,"""Money Maker""",Ludacris featuring Pharrell,"rap, Hip-Hop, Dirty South"
93,"""Kiss Kiss""",Chris Brown featuring T-Pain,"rnb, Hip-Hop, Chris Brown"
94,"""Far Away""",Nickelback,"rock, alternative rock, hard rock"
95,"""Rock Yo Hips""",Crime Mob and Lil' Scrappy,"rap, Hip-Hop, Crunk"
96,"""LoveStoned""",Justin Timberlake,"pop, rnb, dance"
97,"""Better than Me""",Hinder,"rock, alternative rock, post-grunge"
98,"""Paralyzer""",Finger Eleven,"alternative rock, rock, alternative"
99,"""That's That""",Snoop Dogg featuring R. Kelly,"Hip-Hop, rap, Gangsta Rap"
100,"""Same Girl""",R. Kelly featuring Usher,"rnb, soul, Hip-Hop"
