No.,Title,Artist,Top_Tags
1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,"indie, electronic, alternative"
2,"""Call Me Maybe""",Carly Rae Jepsen,"pop, dance, female vocalists"
3,"""We Are Young""",Fun featuring Janelle Monáe,Unknown
4,"""Payphone""",Maroon 5 featuring Wiz Khalifa,"rock, pop, pop rock"
5,"""Lights""",Ellie Goulding,"female vocalists, electronic, british"
6,"""Glad You Came""",The Wanted,"pop, british, the wanted"
7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,"pop, female vocalists, pop rock"
8,"""We Found Love""",Rihanna featuring Calvin Harris,"pop, rnb, female vocalists"
9,"""Starships""",Nicki Minaj,"Hip-Hop, rap, rnb"
10,"""What Makes You Beautiful""",One Direction,"pop, british, one direction"
11,"""Wild Ones""",Flo Rida featuring Sia,"Hip-Hop, rap, hip hop"
12,"""Set Fire to the Rain""",Adele,"soul, female vocalists, british"
13,"""Sexy and I Know It""",LMFAO,"electronic, Hip-Hop, electro"
14,"""Some Nights""",Fun,"seen live, noise rock, indie"
15,"""Wide Awake""",Katy Perry,"pop, female vocalists, pop rock"
16,"""Good Feeling""",Flo Rida,"Hip-Hop, rap, hip hop"
17,"""Whistle""",Flo Rida,"Hip-Hop, rap, hip hop"
18,"""One More Night""",Maroon 5,"rock, pop, pop rock"
19,"""Drive By""",Train,"rock, alternative rock, alternative"
20,"""The Motto""",Drake featuring Lil Wayne,Unknown
21,"""Where Have You Been""",Rihanna,"pop, rnb, female vocalists"
22,"""Everybody Talks""",Neon Trees,"indie, indie rock, alternative"
23,"""Take Care""",Drake featuring Rihanna,"Hip-Hop, rap, rnb"
24,"""Titanium""",David Guetta featuring Sia,"House, dance, electronic"
25,"""I Won't Give Up""",Jason Mraz,"singer-songwriter, acoustic, pop"
26,"""It Will Rain""",Bruno Mars,"pop, rnb, male vocalists"
27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz","hip hop, rap, Hip-Hop"
28,"""Boyfriend""",Justin Bieber,"pop, black metal, justin bieber"
29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,Unknown
30,"""Too Close""",Alex Clare,"dubstep, electronic, soul"
31,"""Part of Me""",Katy Perry,"pop, female vocalists, pop rock"
32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,Unknown
33,"""We Are Never Ever Getting Back Together""",Taylor Swift,"country, pop, female vocalists"
34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,"pop, black metal, justin bieber"
35,"""Turn Me On""",David Guetta featuring Nicki Minaj,"House, dance, electronic"
36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,"pop, dance, rock"
37,"""Blow Me (One Last Kiss)""",Pink,"pop, female vocalists, pop rock"
38,"""Good Time""",Owl City and Carly Rae Jepsen,Unknown
39,"""Give Your Heart a Break""",Demi Lovato,"pop, pop rock, female vocalists"
40,"""Niggas in Paris""",Jay-Z and Kanye West,"Hip-Hop, rap, Kanye West"
41,"""The One That Got Away""",Katy Perry,"pop, female vocalists, pop rock"
42,"""Feel So Close""",Calvin Harris,"electronic, dance, electro"
43,"""Someone like You""",Adele,"soul, female vocalists, british"
44,"""Scream""",Usher,"rnb, Hip-Hop, pop"
45,"""Rack City""",Tyga,"Hip-Hop, rap, hip hop"
46,"""Domino""",Jessie J,"pop, british, female vocalists"
47,"""Gangnam Style""",Psy,"k-pop, Korean, pop"
48,"""International Love""",Pitbull featuring Chris Brown,"Hip-Hop, rap, Reggaeton"
49,"""Home""",Phillip Phillips,"folk, rock, American Idol"
50,"""Without You""",David Guetta featuring Usher,"House, dance, electronic"
51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,"Hip-Hop, indie, alternative"
52,"""Wanted""",Hunter Hayes,"country, male vocalists, Country-Pop"
53,"""Drunk on You""",Luke Bryan,"country, new country, modern country"
54,"""No Lie""",2 Chainz featuring Drake,"Hip-Hop, rap, trap"
55,"""Want U Back""",Cher Lloyd,"pop, british, female vocalists"
56,"""Don't Wake Me Up""",Chris Brown,"rnb, Hip-Hop, Chris Brown"
