No.,Title,Artist,Lyrics_URL,Lyrics
1,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,https://genius.com/Mark-ronson-uptown-funk-lyrics,"Doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh-doh, doh-doh
Doh-doh-doh, doh-doh
 
This hit, that ice cold
Michelle Pfeiffer, that white gold
This one for them hood girls
Them good girls, straight masterpieces
Stylin', wilin', livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself, I'm so pretty
I'm too hot 
(
Doh
)
Uh, call the police and the fireman
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
I'm too hot 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Make a dragon wanna retire, man
I'm too hot 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Say my name, you know who I am
I'm too hot 
(
Doh-doh-doh, doh-doh, doh, doh
)
And my band 'bout that money,
 
break it down
Girls hit your hallelujah 
Girls hit your hallelujah 
Girls hit your hallelujah 
'Cause uptown funk gon' give it to you 
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
 (
Ya
)
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh
 (
Ya
)
(
Doh-doh-doh, doh-doh–
)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh
Stop, wait a minute
Fill my cup, put some liquor in it
Take a sip, sign the check
Julio, get the stretch
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of Skippy
I'm too hot 
(
Doh
)
Call the police and the fireman
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
I'm too hot 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Make a dragon wanna retire, man
I'm too hot 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Bitch, say my name, you know who I am
I'm too hot 
(
Doh-doh-doh, doh-doh, doh, doh
)
Uh, and my band 'bout that money,
 
break it down
Girls hit your hallelujah 
Girls hit your hallelujah 
Girls hit your hallelujah 
'Cause uptown funk gon' give it to you 
'Cause uptown funk gon' give it to you
Saturday night and we in the spot
Don't believe me, just watch, come on
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
 (
Ya
)
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh
 (
Ya
)
(
Doh-doh-doh, doh-doh–
)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh
(
Doh
)
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Before we leave
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Lemme tell y'all a lil' something
Uptown funk you up, uptown funk you up
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Uptown funk you up, uptown funk you up, uh
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
I said, uptown funk you up, uptown funk you up, uh
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Uptown funk you up, uptown funk you up, come on
(
Doh-doh-doh, doh-doh, doh, doh
)
Dance, jump on it
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
If you sexy, then flaunt it
If you freaky, then own it
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Don't brag about it, come show me, come on
Dance, jump on it
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
If you sexy, then flaunt it
Well, it's Saturday night and we in the spot
Don't believe me, just watch, come on
Doh
Doh-doh-doh, doh-doh-doh, doh-doh
 (
Ya
)
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Don't believe me, just watch, uh
Doh-doh-doh, doh-doh-doh, doh-doh
 (
Ya
)
(
Doh-doh-doh, doh-doh–
)
Don't believe me, just watch, uh
Don't believe me, just watch, uh
Don't believe me, just watch
Don't believe me, just watch
Hey, hey, hey, oh
Uptown funk you up 
(
Doh
)
Uptown funk you up 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Uptown funk you up 
(
Doh-doh-doh, doh
)
Uptown funk you up 
(
Doh
)
Uptown funk you up 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Uptown funk you up 
Uptown funk you up 
Uptown funk you up 
(
Doh
)
Uptown funk you up 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Uptown funk you up 
Uptown funk you up 
(
Doh-doh-doh, doh
)
Uptown funk you up 
(
Doh
)
Uptown funk you up 
(
Doh-doh-doh, doh-doh-doh, doh-doh
)
Uptown funk you up 
Uptown funk you up
Aw, ow"
2,"""Thinking Out Loud""",Ed Sheeran,https://genius.com/Ed-sheeran-thinking-out-loud-lyrics,"When your legs don't work like they used to before
And I can't 
sweep
 you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darlin', I will be lovin' you till we're seventy
And baby, my heart could still fall as hard at twenty-three
And I'm thinkin' 'bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Well, me, I fall in love with you every single day
And I just wanna tell you I am
So honey, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
And place your head on my beatin' heart, I'm thinkin' out loud
Maybe we found love right where we are
When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way, mmm
I know you will still love me the same
'Cause, honey, your soul could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory
I'm thinkin' 'bout how
People fall in love in mysterious ways
And maybe it's all part of a plan
Oh, I'll just keep on makin' the same mistakes
Hoping that you'll understand
That, baby, now, take me into your lovin' arms
Kiss me under the light of a thousand stars
Place your head on my beatin' heart, I'm thinkin' out loud
And maybe we found love right where we are, oh-oh
Lo-lo-lo, lo-lo-lo
Lo-lo-lo, lo-lo-lo, love
So baby, now, take me into your lovin' arms
And kiss me under the light of a thousand stars, oh, darlin'
Place your head on my beatin' heart, I'm thinkin' out loud
That maybe we found love right where we are
Oh, maybe we found love right where we are
And we found love right where we are"
3,"""See You Again""",Wiz Khalifa featuring Charlie Puth,https://genius.com/Wiz-khalifa-see-you-again-lyrics,"It's been a long day
Without you, my friend
And I'll tell you all about it when I see you again
We've come a long way
From where we began
Oh, I'll tell you all about it when I see you again
When I see you again
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standin' right here talkin' to you
'Bout another path, I know we loved to hit the road and laugh
But somethin' told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days,
 
hard work forever pays
Now I see you in a better place
Uh
How can we not talk about family when family's all that we got?
Everything I went through, you were standin' there by my side
And now you gon' be with me for the last ride
[Chorus: Charlie Puth & 
Wiz Khalifa
]
It's been a long day
Without you, my friend
And I'll tell you all about it when I see you again (
I'll see you again
)
We've come a long way (
Yeah, we came a long way
)
From where we began (
You know where we started
)
Oh, I'll tell you all about it when I see you again (
Let me tell you
)
When I see you again
[Post-Chorus: Charlie Puth & 
Wiz Khalifa
]
Oh, oh
Ooh (
Yeah
)
First, you both go out your way and the vibe is feelin' strong
And what's small turned to a friendship, a friendship turned to a bond
And that bond'll never be broken, the love will never get lost
And when brotherhood come first, then the line'll never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached, so remember me when I'm gone
How can we not talk about family when family's all that we got?
Everything I went through, you were standin' there by my side
And now you gon' be with me for the last ride
So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home
It's been a long day
Without you, my friend
And I'll tell you all about it when I see you again
We've come a long way
From where we began
Oh, I'll tell you all about it when I see you again
When I see you again
[Post-Chorus: Charlie Puth & 
Wiz Khalifa
]
Oh (
Uh
), oh (Yeah-yeah; 
yeah
)
Ooh (
Yo, yo, uh
)
When I see you again 
Oh (
Yeah
), oh (
Yeah, yeah
; oh-oh)
Ooh (
Uh-huh, yup
)
When I see you again"
4,"""Trap Queen""",Fetty Wap,https://genius.com/Fetty-wap-trap-queen-lyrics,"RGF productions
Remy Boyz, yah-ah
1738, ayy
I'm like ""Hey, what's up? Hello"" 
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a hundred grams though
Man, I swear I love her, how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans, though
In love with the money, I ain't never lettin' go
And I get high with my baby 
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby 
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby 
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies
I'm like, ""Hey, what's up? Hello""
I hit the strip with my trap queen, 'cause all we know is bands
I just might snatch up a 'Rari and buy my boo a Lamb'
I just might snatch her a necklace, drop a couple on a ring
She ain't wantin' for nothin' because I got her everything
It's big ZooWap from the bando
Remind me where I can't go
Remy Boyz got the stamp though
Count up hella them bands though
Boy how far can your bands go?
Fetty Wap, I'm livin' fifty thousand K how I stand though
If you checkin' for my pockets I'm like…
And I get high with my baby 
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby 
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby 
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby 
I be in the kitchen cookin' pies
I'm like, ""Hey, what's up? Hello""
Seen yo' pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a hundred grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans though
In love with the money, I ain't never lettin' go
I be smokin' dope and you know Backwoods what I roll
Remy Boyz, Fetty eatin' shit up, that's fasho
I'll run in ya house, then I'll fuck your ho
'Cause Remy Boyz or nothin'
Re-Re-Remy Boyz or nothin', yeah
Yeah, you hear my boy
Soundin' like a zillion bucks on the track
I got whatever on my boy, whatever
Put your money where your mouth is
Money on the wood make the game go good
Money out of sight cause fights
Put up or shut up, huh?
Nitt Da Gritt, huh, RGF Productions
Squad"
5,"""Sugar""",Maroon 5,https://genius.com/Maroon-5-sugar-lyrics,"I'm hurtin', baby, I'm broken down
I need your lovin', lovin', I need it now
When I'm without you, I'm somethin' weak
You got me beggin', beggin', I'm on my knees
I don't wanna be needin' your love
I just wanna be deep in your love
And it's killin' me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste
Your sugar, yes, please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please
Won't you come and put it down on me?
Babe, my broken pieces, you pick them up
Don't leave me hangin', hangin', come give me some
When I'm without you, I'm so insecure
You are the one thing, one thing I'm livin' for
I don't wanna be needin' your love
I just wanna be deep in your love
And it's killin' me when you're away
Ooh, baby
'Cause I really don't care where you are
I just wanna be there where you are
And I gotta get one little taste
Sugar, yes, please
Won't you come and put it down on me?
I'm right here, 'cause I need
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please 
Won't you come and put it down on me?
Yeah
I want that red velvet, I want that sugar sweet
Don't let nobody touch it unless that somebody's me
I gotta be a man, there ain't no other way
'Cause, girl, you're hotter than a Southern California day
And I wanna play no games, you don't gotta be afraid
Don't give me all that shy shit
No makeup on, that's my sugar
Sugar, yes, please 
Won't you come and put it down on me? 
I'm right here, 'cause I need 
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life 
Your sugar, yes, please 
Won't you come and put it down on me?
 
Sugar, yes, please
Won't you come and put it down on me? 
I'm right here, 'cause I need 
Little love, a little sympathy
Yeah, you show me good lovin', make it alright
Need a little sweetness in my life
Your sugar, yes, please 
Won't you come and put it down on me?"
6,"""Shut Up and Dance""",Walk the Moon,https://genius.com/Walk-the-moon-shut-up-and-dance-lyrics,"""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me
We were victims of the night
The chemical, physical kryptonite
Helpless to the bass and the fading light
Oh, we were bound to get together
Bound to get together
She took my arm
I don't know how it happened
We took the floor and she said
""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me
A backless dress and some beat-up sneaks
My discothèque Juliet, teenage dream
I felt it in my chest as she looked at me
I knew we were bound to be together
Bound to be together
She took my arm
I don't know how it happened
We took the floor and she said
""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me
Oh, c'mon, girl
Deep in her eyes
I think I see the future
I realize this is my last chance
She took my arm
I don't know how it happened
We took the floor and she said
""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance
""Don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me
Ooh-ooh, shut up and dance with me
Ooh-ooh, shut up and dance with me"
7,"""Blank Space""",Taylor Swift,https://genius.com/Taylor-swift-blank-space-lyrics,"Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
""Oh, my God, look at that face
You look like my next mistake
Love's a game, wanna play?"" Ayy
New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So, hey, let's be friends
I'm dying to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the king, baby, I'm your queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh, no
Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessing, like
""Oh, my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless 
We'll take this way too far
It'll leave you breathless , mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane 
But I've got a blank space, baby
And I'll write your name
Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over , mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane 
'Cause you know I love the players
And you love the game 
'Cause we're young and we're reckless 
We'll take this way too far 
It'll leave you breathless, mm
Or with a nasty scar 
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
8,"""Watch Me""",Silentó,https://genius.com/Computerwife-no-patience-lyrics,"I have zero patience for this endless institution
I have been pathetic for a year
I don't think you understand that I have been alluding
To a monumental 
But I'm back inside a haze again
If I could always see this way
I'd be content every day
Bored forever
I didn't know what I had missed
Until I felt this gentleness
Let's sink into the easy life together
I don't feel at home in my life here anymore
Throwing up on the bed watch me
Silent on the door
I wokе up dreaming of a chain tied to my neck
Evеn when I'm sleeping there's a tendency towards threat
I wanna feel that haze again
You can't be satisfied with all my anger streaks
But I'd never act that way if you were here with me
Didn't know what I had missing
Until I felt this gentleness
Let's sink into this easy life together
Don't you miss being by my side together
Don't you miss being by my side together
Let's sink into this easy life together"
9,"""Earned It""",The Weeknd,https://genius.com/The-weeknd-earned-it-lyrics,"I'ma care for you
I'ma care for you, you, you, you
You make it look like it's magic 
'Cause I see nobody, nobody but you, you, you
I'm never confused
Hey, hey
And I'm so used to bein' used
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl, you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl, you earned it, yeah
Girl, you earned it, yeah
You know our love would be tragic 
So you don't pay it, don't pay it no mind, mind, mind
We live with no lies
Hey, hey
You're my favorite kind of night
So I love when you call unexpected
'Cause I hate when the moment's expected
So I'ma care for you, you, you
I'ma care for you, you, you, you, yeah
'Cause girl, you're perfect 
You're always worth it 
And you deserve it 
The way you work it 
'Cause girl, you earned it, yeah 
Girl, you earned it, yeah
On that lonely night 
We said it wouldn't be love
But we felt the rush 
It made us believe it was only us 
Convinced we were broken inside, yeah, inside, yeah
'Cause girl, you're perfect 
You're always worth it 
And you deserve it 
The way you work it 
'Cause girl, you earned it, yeah 
Girl, you earned it, yeah 
Na-na-na-na-na
Oh-oh-oh
Yeah, yeah
'Cause girl, you're perfect
The way you work it
You deserve it
Girl, you deserve it
Girl, you earned it, yeah, yeah"
10,"""The Hills""",The Weeknd,https://genius.com/The-weeknd-the-hills-lyrics,"Yeah
Yeah
Yeah
Your man on the road, he doin' promo
You said, ""Keep our business on the low-low""
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Drivin' through the gated residential
Found out I was comin', sent your friends home
Keep on tryna hide it, but your friends know
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
I'ma let you know and keep it simple
Tryna keep it up don't seem so simple
I just fucked two bitches 'fore I saw you
And you gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feelin' like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
Hills have eyes, the hills have eyes
Who are you to judge? Who are you to judge?
Hide your lies, girl, hide your lies 
Only you to trust, only you
I only call you when it's half-past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half-past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe
Ewedihalehu
Yene konjo, ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir
Ewedihalehu
Yene konjo, ewedihalehu..."
