№,Title,Artist,Lyrics_URL
1,"""Irreplaceable""",Beyoncé,https://genius.com/Beyonce-irreplaceable-lyrics
2,"""Umbrella""",Rihanna featuring Jay-Z,https://genius.com/Rihanna-umbrella-lyrics
3,"""The Sweet Escape""",Gwen Stefani featuring Akon,https://genius.com/Gwen-stefani-the-sweet-escape-lyrics
4,"""Big Girls Don't Cry""",Fergie,https://genius.com/Yuridia-sound-track-of-my-life-lyrics
5,"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,https://genius.com/T-pain-buy-u-a-drank-shawty-snappin-lyrics
6,"""Before He Cheats""",Carrie Underwood,https://genius.com/Carrie-underwood-before-he-cheats-lyrics
7,"""Hey There Delilah""",Plain White T's,https://genius.com/Plain-white-ts-hey-there-delilah-lyrics
8,"""I Wanna Love You""",Akon featuring Snoop Dogg,https://genius.com/Akon-i-wanna-love-you-lyrics
9,"""Say It Right""",Nelly Furtado,https://genius.com/Nelly-furtado-say-it-right-lyrics
10,"""Glamorous""",Fergie featuring Ludacris,https://genius.com/Fergie-glamorous-lyrics
11,"""Don't Matter""",Akon,https://genius.com/Akon-dont-matter-lyrics
12,"""Girlfriend""",Avril Lavigne,https://genius.com/Avril-lavigne-girlfriend-lyrics
13,"""Makes Me Wonder""",Maroon 5,https://genius.com/Maroon-5-makes-me-wonder-lyrics
14,"""Party Like a Rockstar""",Shop Boyz,https://genius.com/Shop-boyz-party-like-a-rockstar-lyrics
15,"""Smack That""",Akon featuring Eminem,https://genius.com/Akon-smack-that-lyrics
16,"""This Is Why I'm Hot""",Mims,https://genius.com/Mims-this-is-why-im-hot-lyrics
17,"""It's Not Over""",Daughtry,https://genius.com/Daughtry-its-not-over-lyrics
18,"""The Way I Are""",Timbaland featuring Keri Hilson,https://genius.com/Timbaland-the-way-i-are-lyrics
19,"""Fergalicious""",Fergie featuring will.i.am,https://genius.com/Fergie-fergalicious-lyrics
20,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,https://genius.com/Glitzy-know-your-meme-music-annotated
21,"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,https://genius.com/Timbaland-give-it-to-me-lyrics
22,"""What Goes Around... Comes Around""",Justin Timberlake,https://genius.com/Justin-timberlake-what-goes-around-comes-around-lyrics
23,"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,https://genius.com/Apologetix-stupids-stronghold-reckless-in-america-lyrics
24,"""How to Save a Life""",The Fray,https://genius.com/The-fray-how-to-save-a-life-lyrics
25,"""Home""",Daughtry,https://genius.com/Daughtry-home-lyrics
26,"""My Love""",Justin Timberlake featuring T.I.,https://genius.com/Justin-timberlake-my-love-lyrics
27,"""Stronger""",Kanye West,https://genius.com/Kanye-west-stronger-lyrics
28,"""We Fly High""",Jim Jones,https://genius.com/Jim-jones-we-fly-high-lyrics
29,"""U + Ur Hand""",Pink,https://genius.com/P-nk-u-ur-hand-lyrics
30,"""Walk It Out""",Unk,https://genius.com/Unk-walk-it-out-lyrics
31,"""Beautiful Girls""",Sean Kingston,https://genius.com/Sean-kingston-beautiful-girls-lyrics
32,"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,https://genius.com/Fall-out-boy-this-aint-a-scene-its-an-arms-race-lyrics
33,"""Bartender""",T-Pain featuring Akon,https://genius.com/T-pain-bartender-lyrics
34,"""Pop, Lock & Drop It""",Huey,https://genius.com/Huey-pop-lock-and-drop-it-lyrics
35,"""Runaway Love""",Ludacris featuring Mary J. Blige,https://genius.com/Ludacris-runaway-love-lyrics
36,"""Rockstar""",Nickelback,https://genius.com/Nickelback-rockstar-lyrics
37,"""Thnks fr th Mmrs""",Fall Out Boy,https://genius.com/Fall-out-boy-thnks-fr-th-mmrs-lyrics
38,"""What I've Done""",Linkin Park,https://genius.com/Linkin-park-what-ive-done-lyrics
39,"""Summer Love""",Justin Timberlake,https://genius.com/Justin-timberlake-summer-love-lyrics
40,"""You""",Lloyd featuring Lil Wayne,https://genius.com/Lloyd-you-lyrics
41,"""Wait for You""",Elliott Yamin,https://genius.com/Elliott-yamin-wait-for-you-lyrics
42,"""Last Night""",Diddy featuring Keyshia Cole,https://genius.com/Diddy-last-night-lyrics
43,"""Make It Rain""",Fat Joe featuring Lil Wayne,https://genius.com/Fat-joe-make-it-rain-lyrics
44,"""Make Me Better""",Fabolous featuring Ne-Yo,https://genius.com/Fabolous-make-me-better-lyrics
45,"""Ice Box""",Omarion,https://genius.com/Omarion-ice-box-lyrics
46,"""Lips of an Angel""",Hinder,https://genius.com/Hinder-lips-of-an-angel-lyrics
47,"""Waiting on the World to Change""",John Mayer,https://genius.com/John-mayer-waiting-on-the-world-to-change-lyrics
48,"""Lost Without U""",Robin Thicke,https://genius.com/Robin-thicke-lost-without-u-lyrics
49,"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,https://genius.com/R-kelly-im-a-flirt-lyrics
50,"""If Everyone Cared""",Nickelback,https://genius.com/Nickelback-if-everyone-cared-lyrics
51,"""Get It Shawty""",Lloyd,https://genius.com/Lloyd-get-it-shawty-lyrics
52,"""Face Down""",The Red Jumpsuit Apparatus,https://genius.com/The-red-jumpsuit-apparatus-face-down-lyrics
53,"""The Way I Live""",Baby Boy da Prince,https://genius.com/Baby-boy-da-prince-the-way-i-live-lyrics
54,"""Shortie Like Mine""",Bow Wow featuring Chris Brown and Johntá Austin,https://genius.com/Bow-wow-shortie-like-mine-lyrics
55,"""It Ends Tonight""",The All-American Rejects,https://genius.com/The-all-american-rejects-it-ends-tonight-lyrics
56,"""A Bay Bay""",Hurricane Chris,https://genius.com/Hurricane-chris-a-bay-bay-lyrics
57,"""Because of You""",Ne-Yo,https://genius.com/Ne-yo-because-of-you-lyrics
58,"""I Tried""",Bone Thugs-n-Harmony featuring Akon,https://genius.com/Bone-thugs-n-harmony-i-tried-lyrics
59,"""Welcome To The Black Parade""",My Chemical Romance,https://genius.com/My-chemical-romance-welcome-to-the-black-parade-lyrics
60,"""Shawty""",Plies featuring T-Pain,https://genius.com/Plies-shawty-lyrics
61,"""Chasing Cars""",Snow Patrol,https://genius.com/Snow-patrol-chasing-cars-lyrics
62,"""Beautiful Liar""",Beyoncé and Shakira,https://genius.com/Beyonce-and-shakira-beautiful-liar-lyrics
63,"""SexyBack""",Justin Timberlake featuring Timbaland,https://genius.com/Justin-timberlake-sexyback-lyrics
64,"""Keep Holding On""",Avril Lavigne,https://genius.com/Avril-lavigne-keep-holding-on-lyrics
65,"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,https://genius.com/Keyshia-cole-let-it-go-lyrics
66,"""Apologize""",OneRepublic,https://genius.com/Onerepublic-apologize-lyrics
67,"""Bubbly""",Colbie Caillat,https://genius.com/Colbie-caillat-bubbly-lyrics
68,"""Like a Boy""",Ciara,https://genius.com/Ciara-like-a-boy-lyrics
69,"""Who Knew""",Pink,https://genius.com/P-nk-who-knew-lyrics
70,"""Never Again""",Kelly Clarkson,https://genius.com/Kelly-clarkson-never-again-lyrics
71,"""Promise""",Ciara,https://genius.com/Ciara-promise-lyrics
72,"""Bed""",J. Holiday,https://genius.com/J-holiday-bed-lyrics
73,"""Throw Some D's""",Rich Boy featuring Polow da Don,https://genius.com/Rich-boy-throw-some-ds-lyrics
74,"""Rehab""",Amy Winehouse,https://genius.com/Amy-winehouse-rehab-lyrics
75,"""Big Shit Poppin' (Do It)""",T.I.,https://genius.com/Ti-big-shit-poppin-do-it-lyrics
76,"""No One""",Alicia Keys,https://genius.com/Alicia-keys-no-one-lyrics
77,"""The Great Escape""",Boys Like Girls,https://genius.com/Boys-like-girls-the-great-escape-lyrics
78,"""2 Step""",Unk,https://genius.com/Unk-2-step-lyrics
79,"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,https://genius.com/Paula-deanda-walk-away-remember-me-lyrics
80,"""Go Getta""",Young Jeezy featuring R. Kelly,https://genius.com/Jeezy-go-getta-lyrics
