No.,Title,Artist,Lyrics_URL
1,"""God's Plan""",Drake,https://genius.com/Drake-gods-plan-lyrics
2,"""Perfect""",Ed Sheeran,https://genius.com/Ed-sheeran-perfect-lyrics
3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,https://genius.com/Bebe-rexha-meant-to-be-lyrics
4,"""Havana""",Camila Cabello featuring Young Thug,https://genius.com/Camila-cabello-havana-lyrics
5,"""Rockstar""",Post Malone featuring 21 Savage,https://genius.com/Post-malone-rockstar-lyrics
6,"""Psycho""",Post Malone featuring Ty Dolla Sign,https://genius.com/Post-malone-psycho-lyrics
7,"""I Like It""","Cardi B, Bad Bunny and J Balvin",https://genius.com/2019-grammy-awards-record-of-the-year-nominees-annotated
8,"""The Middle""","Zedd, Maren Morris and Grey",https://genius.com/5-seconds-of-summer-the-middle-zedd-maren-morris-and-grey-cover-lyrics
9,"""In My Feelings""",Drake,https://genius.com/Drake-in-my-feelings-lyrics
10,"""Girls Like You""",Maroon 5 featuring Cardi B,https://genius.com/Maroon-5-girls-like-you-lyrics
11,"""Nice for What""",Drake,https://genius.com/Drake-nice-for-what-lyrics
12,"""Lucid Dreams""",Juice Wrld,https://genius.com/Juice-wrld-lucid-dreams-lyrics
13,"""Better Now""",Post Malone,https://genius.com/Post-malone-better-now-lyrics
14,"""Finesse""",Bruno Mars featuring Cardi B,https://genius.com/Bruno-mars-finesse-lyrics
15,"""Boo'd Up""",Ella Mai,https://genius.com/Ella-mai-bood-up-lyrics
16,"""New Rules""",Dua Lipa,https://genius.com/Dua-lipa-new-rules-lyrics
17,"""Sad!""",XXXTentacion,https://genius.com/Xxxtentacion-sad-lyrics
18,"""Never Be the Same""",Camila Cabello,https://genius.com/Camila-cabello-never-be-the-same-lyrics
19,"""Love Lies""",Khalid and Normani,https://genius.com/Khalid-and-normani-love-lies-lyrics
20,"""No Tears Left to Cry""",Ariana Grande,https://genius.com/Ariana-grande-no-tears-left-to-cry-lyrics
21,"""Mine""",Bazzi,https://genius.com/Bazzi-mine-lyrics
