№,Title,Artist,Lyrics_URL,Lyrics
1,"""Irreplaceable""",Beyoncé,https://genius.com/Beyonce-irreplaceable-lyrics,left left left left mm left left everything box left closet stuff yes bought nigga please touch keep talkin mess fine could walk talk time name jag remove bag let call cab standin front yard tellin fool talkin 'bout never ever find man like got twisted must know 'bout must know 'bout could another minute matter fact minute baby must know 'bout must know 'bout another tomorrow ever second get thinking irreplaceable go ahead get gone call chick see home oops bet thought know think puttin untrue rollin 'round car bought baby drop key hurry taxi leaf standin front yard tellin fool talkin 'bout never ever find man like got twisted must know 'bout must know 'bout could another minute matter fact minute baby must know 'bout must know 'bout another tomorrow ever second get thinking irreplaceable since everything nothing nothing baby wo shed tear wo lose wink sleep 'cause truth matter replacing easy left left left left mm left left everything box left left left ever second get thinking irreplaceable must know 'bout must know 'bout could another minute matter fact minute baby must know 'bout must know 'bout another tomorrow ever second get thinking must know 'bout must know 'bout could another minute matter fact minute pack bag finished 'cause made bed lay another tomorrow ever second get thinking irreplaceable
2,"""Umbrella""",Rihanna featuring Jay-Z,https://genius.com/Rihanna-umbrella-lyrics,uh-huh uh-huh uh-huh uh-huh good girl gone bad uh-huh uh-huh uh-huh uh-huh verse 1 jay-z rihanna cloud stone let rain hydroplane bank comin dow jones ayy ayy ayy cloud come go roc-a-fella ayy-ayy-ayy ayy fly higher weather g5 better know anticipation precipitation stack chip rainy day jay rain man back ayy-ayy-ayy ayy little miss sunshine rihanna ayy-ayy-ayy ayy heart never world apart may magazine still star baby 'cause dark ca see shiny car need always share sun shine shine together told forever said always friend took oath i'ma stick 'til end rainin ever know still stand umbrella stand umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy ayy ayy ayy fancy thing never come part entity infinity war took part world dealt card hand hard together mend heart sun shine shine together told forever said always friend took oath i'ma stick 'til end rainin ever know still stand umbrella stand umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy ayy ayy ayy run arm okay alarmed come distance love gon na let rain pour need sun shine shine together told forever said always friend took oath i'ma stick 'til end rainin ever know still stand umbrella stand umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy umbrella ella-ella ayy ayy ayy ayy ayy ayy rainin rainin ooh baby rainin rainin baby come come rainin rainin ooh baby rainin rainin always come come pourin rain pourin rain come come pourin rain pourin rain come
3,"""The Sweet Escape""",Gwen Stefani featuring Akon,https://genius.com/Gwen-stefani-the-sweet-escape-lyrics,konvict konvict konvict woo-hoo yee-hoo woo-hoo yee-hoo woo-hoo yee-hoo woo-hoo yee-hoo could escape would first let say must apologize acting stank treating way 'cause acting like sour milk floor fault shut refrigerator maybe reason acting cold could escape recreate place world could favorite girl perfectly together tell boy would sweet could sweet know real bad girl mean get hurt make better tell boy would sweet wan na get away sweet escape wan na get away yeah melt lowest boiling point come help need get joint come let bounce counting turn around instead clowning around let look common ground baby time get little crazy gettin little lazy waitin come save see angry way treat hopefully leave wan na take could escape recreate place world could favorite girl perfectly together tell boy would sweet could sweet know real bad girl mean get hurt make better tell boy would sweet could escape could escape 'cause acting like sour milk floor fault shut refrigerator maybe reason acting cold could escape recreate place world could favorite girl perfectly together tell boy would sweet could sweet know real bad girl mean get hurt make better tell boy would sweet wan na get away sweet escape wan na get away yeah
4,"""Big Girls Don't Cry""",Fergie,https://genius.com/Yuridia-sound-track-of-my-life-lyrics,1 born tu angelito soy y.- chino nacho 2 parent u.s 1998- stop stare think moving go nowhere- one republic 3 loosing favorite uncle brave let anything take away standing front me- christina perri 4 fell bike big girl cry- fergie 5 mother left home far far away anything see face tyga 6 first time beachlet go beach let go get away nicki minaj 7 sweet 15 moment life nicki minaj 8 first time driving dad car yeeeeeyeeeah yeah yeah yeah feeling like star ca stop shine loving cloud nine head sky solo riding solo riding solo ridin solo sooloooo ridin solo- jason darulo
5,"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,https://genius.com/T-pain-buy-u-a-drank-shawty-snappin-lyrics,intro t-pain yung joc yeah t-pain shawty yung joc yeah yeah yeah ayy ayy snappin ooh-ooh-ooh ooh-ooh-ooh ooh-ooh-ooh yeah snap yo finger yo step baby girl name let talk let buy drank t-pain know konvict muzic nappy boy ooh wee know club close three chance rollin back crib show live let get drunk forget i'ma buy drank i'ma take home got money bank shawty think 'bout grey cadillac bed like ooh ooh ooh woah woah ooh ooh bed like ooh ooh woah ooh woah woah ooh ooh woah talk talk back let talk money talk crunk juice bomb oakley shade shawty got class oh behave let get gone walk like talkin 'bout gon fun gon see patrón get like i'ma buy drank woah oh-ooh woah i'ma take home got money bank shawty think 'bout grey cadillac bed like ooh ooh ooh woah woah ooh ooh bed like ooh ooh woah ooh woah woah ooh ooh woah wo meet bar respect big pimpin tell feel mama tell sippin certified dime piece deserve louis one three one fifty shot three three checking body language love conversation lick lip get tingling sensation 'bout tipsy say mood need 'bout hour better yet maybe two let take live ferrari switch gear whisper ear leg hit chandelier passion fruit sex atmosphere i'ma let t-pain sing make clear i'ma buy drank woah oh-ooh woah i'ma take home got money bank shawty think 'bout grey cadillac bed like ooh ooh ooh woah woah ooh ooh bed like ooh ooh woah ooh woah woah ooh ooh woah bridge jay lyriq tay dizm let get gone walk walk think oh snap rock rock rock rock let get gone walk walk think oh snap rock rock rock rock i'ma buy drank i'ma take home got money bank shawty think 'bout grey cadillac bed like ooh ooh ooh woah woah ooh ooh bed like ooh ooh woah ooh woah woah ooh ooh woah
6,"""Before He Cheats""",Carrie Underwood,https://genius.com/Carrie-underwood-before-he-cheats-lyrics,right probably slow dancing bleached-blonde tramp probably getting frisky right probably buying fruity little drink 'cause ca shoot whiskey right probably behind pool-stick showing shoot combo know dug key side pretty little souped four-wheel drive carved name leather seat took louisville slugger headlight slashed hole four tire maybe next time think cheat right probably singing white-trash version shania karaoke right probably saying drunk thinking gon na get lucky right probably dabbing three dollar worth bathroom polo oh know oh dug key side pretty little souped four-wheel drive carved name leather seat took louisville slugger headlight slashed hole four tire maybe next time think cheat might saved little trouble next girl 'cause next time cheat oh know wo 'cause dug key side pretty little souped four-wheel drive carved name leather seat took louisville slugger headlight slashed hole four tire maybe next time think cheat oh maybe next time think cheat oh cheat oh
7,"""Hey There Delilah""",Plain White T's,https://genius.com/Plain-white-ts-hey-there-delilah-lyrics,hey delilah like new york city thousand mile away girl tonight look pretty yes time square ca shine bright swear true hey delilah worry distance right get lonely give song another listen close eye listen voice disguise side oh oh oh oh hey delilah know time gettin hard believe girl someday pay bill guitar good life knew would word good hey delilah got much left say every simple song wrote would take breath away write even love fall oh oh oh oh thousand mile seems pretty far got plane train car walk way friend would make fun u laugh along know none felt way delilah promise time get world never ever blame hey delilah good miss two year done school making history like know whatever want hey delilah one oh oh oh oh oh woah woah oh woah oh oh
8,"""I Wanna Love You""",Akon featuring Snoop Dogg,https://genius.com/Akon-i-wanna-love-you-lyrics,konvict konvict music know upfront see windin grindin floor know see lookin already know wan na love already know wan na love already know girl money air mo fell grab coattail take motel ho sale tell wo tell baby say talk dogg told oh well take picture flick gon baby stick i'ma stick pick i'ma pick d-o double g put d— stuck p— right rip ridin pole door tight i'ma get shot 'fo end night 'cause p— p— baby p— life see windin grindin floor know see lookin already know wan na love already know wan na love already know girl shorty see lonely handful n— got cheese see lookin gon another tease far see tryna get club mean spendin couple dub throwin 'bout thirty stack back make rain like 'cause far scrub know pedigree ex-dealer use move amphetamine girl spend money like mean nothing besides got thing see windin grindin floor know see lookin already know wan na love already know wan na love already know girl verse 3 snoop dogg akon mobbin club low pressin sittin back smoker section smokin smokin bird eye got clear view ca see see baby see hmm cool jet mood set p— wet rubbin back touchin neck yeah body movin humpin jumpin yeah t— bouncin smilin grinnin lookin girl lookin ready hit caddy right patio move patty caddy baby got phatty type like marry wantin give everything kinda scary 'cause loving way shake as bouncin got tippin glass normally get caught fast got thing see windin grindin floor know see lookin already know wan na love already know wan na love already know see windin grindin floor know see lookin already know wan na love already know wan na love already know girl girl
9,"""Say It Right""",Nelly Furtado,https://genius.com/Nelly-furtado-say-it-right-lyrics,frk-frk-down hey mean nothin hey hey day night say right say either got either stand fall broken slip hand time jokin hole plan oh mean nothin mean nothin got take set free oh could mean everything ca say lost fault ca say love light dark ca say know alive feel could show tonight tonight oh mean nothin mean nothin got take set free oh could mean everything hand could give somethin made mouth could sing another brick laid body could show place god know know space holy really wan na go hey hey hey mean nothin hey hey hey hey hey mean nothin hey hey
10,"""Glamorous""",Fergie featuring Ludacris,https://genius.com/Fergie-glamorous-lyrics,ready yeah polow da fergie got money take yo broke as home say got money take yo broke as home g-l-a-m-o-r-o-u-s yeah g-l-a-m-o-r-o-u-s chorus fergie polow da flying first class sky poppin champagne livin life fast lane wo change glamorous ooh flossy flossy ready glamorous glamorous glamorous glamorous ooh flossy flossy glamorous glamorous glamorous glamorous ooh flossy flossy wear gold diamond ring thing mean thing chaperone limousine shopping expensive thing movie screen magazine bougie scene clean pristine queen machine still go taco bell drive-through raw hell care still real matter many record sell show grammys like go cool family sippin reminiscin day mustang chorus fergie polow da first class sky poppin champagne livin life fast lane wo change glamorous ooh flossy flossy ready glamorous glamorous glamorous glamorous ooh flossy flossy glamorous glamorous glamorous glamorous ooh flossy flossy verse 2 ludacris fergie talking champagne wish caviar dream deserve nothing finer thing whole world clue u got enough money bank two u plus got ta keep enough lettuce support shoe fetish lifestyle rich famous robin leach get jealous half million stone takin trip rome got money take yo broke as home g-l-a-m-o-r-o-u-s yes g-l-a-m-o-r-o-u-s flyin first class sky poppin champagne livin life fast lane wo change glamorous ooh flossy flossy glamorous glamorous glamorous glamorous ooh flossy flossy glamorous glamorous glamorous glamorous ooh flossy flossy got problem got people ear telling crazy thangs wan na know got money bank really like thank fan like thank thank really though 'cause remember yesterday dreamt day rock mtv really dope damn long road industry cold glad daddy told let daughter know outro fergie polow da got money take yo broke as home say daddy told got money take yo broke as home let daughter know said got money take yo broke as home say daddy told got money take yo broke as home let daughter know
