No.,Title,Artist,Lyrics_URL,Lyrics
1,"""God's Plan""",Drake,https://genius.com/Drake-gods-plan-lyrics,wishin wishin wishin wishin wishin yeah movin calm start trouble tryna keep peaceful struggle pull 6 a.m. cuddle know like lovin wan na die miss yes see thing wishin hope got brother outlive gon tell story shit different god plan god plan hold back sometimes wo yeah feel good sometimes finessed weston road might go g-o-d go hard southside g make sure north-side eat still bad thing lot bad thing wishin wishin wishin wishin wishin bad thing lot bad thing wishin wishin wishin wishin wishin yeah ayy ayy say love tell partly love bed mama sorry fifty dub even got tatted eighty-one bring crasher party know turn o2 o3 dog without 40 oli 'magine never met broskies god plan god plan ca ayy someone watchin shit close since scarlett road ayy might go g-o-d go hard southside g make sure north-side eat yeah still bad thing lot bad thing wishin wishin wishin wishin wishin yeah yeah bad thing lot bad thing wishin wishin wishin wishin wishin yeah
2,"""Perfect""",Ed Sheeran,https://genius.com/Ed-sheeran-perfect-lyrics,found love oh darlin dive right follow lead well found girl beautiful sweet oh never knew someone waitin 'cause kid fell love knowin give time darlin kiss slow heart eye holdin mine baby dancin dark arm barefoot grass listenin favourite song said looked mess whispered underneath breath heard darlin look perfect tonight well found woman stronger anyone know share dream hope someday share home found love carry secret carry love carry child still kid love fightin odds know alright time darlin hold hand girl man see future eye baby dancin dark arm barefoot grass listenin favourite song saw dress lookin beautiful deserve darlin look perfect tonight mm baby dancin dark arm barefoot grass oh listenin favourite song faith see know met angel person look perfect deserve look perfect tonight
3,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,https://genius.com/Bebe-rexha-meant-to-be-lyrics,baby lay back relax kick pretty foot dash need go nowhere fast let enjoy right know road supposed lead got nothing time long right next everything gon na right meant baby let meant baby let wo ride ride see thing go meant baby meant verse 2 bebe rexha florida georgia line mean uptight heart hurt couple time couple guy treat right gon lie gon lie 'cause tired fake love show made boy make believe whoa hold girl know beautiful easy see meant baby let meant baby let wo ride ride see thing go meant baby meant c'mon ride ride see thing go c'mon ride ride baby meant bridge florida georgia line bebe rexha maybe maybe maybe maybe wo chorus bebe rexha florida georgia line meant baby let sing bebe meant c'mon baby let let go wo ride ride see thing go meant baby meant yeah outro florida georgia line bebe rexha meant baby meant meant baby meant hmm
4,"""Havana""",Camila Cabello featuring Young Thug,https://genius.com/Camila-cabello-havana-lyrics,hey chorus camila cabello pharrell williams havana ooh na-na hey half heart havana ooh na-na hey hey took back east atlanta na-na-na ah oh heart havana hey somethin 'bout manner uh-huh havana ooh na-na uh verse 1 camila cabello pharrell williams walk doin uh came room said lot girl uh ca without knew forever minute hey summer night june papa say got malo uh pre-chorus camila cabello pharrell williams got feelin like ooh ooh ooh-ooh knew met loved left got feelin like ooh ooh ooh-ooh tell go oh na-na-na-na-na woo chorus camila cabello pharrell williams havana ooh na-na hey hey half heart havana ooh na-na hey hey uh-huh took back east atlanta na-na-na oh heart havana huh heart havana hey havana ooh na-na graduated fresh campus hm fresh east atlanta manner damn fresh east atlanta bump bumper like traffic jam hey quick pay girl like uncle sam back shawty cravin get eatin waited shawty cakin got bacon history makin homie point blank close range b cost million gettin mula baby chorus camila cabello pharrell williams havana ooh na-na hey hey half heart havana ooh na-na hey hey oh oh took back east atlanta uh-huh na-na-na oh heart havana huh heart havana ayy havana ooh na-na bridge starrah camila cabello ooh na-na oh na-na-na ooh ooh ooh-ooh take back back back like ooh na-na oh na-na-na take back back back like ooh na-na oh na-na-na take back back back like ooh na-na oh na-na-na take back back back ayy ayy ooh ooh ooh-ooh ooh ooh ooh-ooh take back havana chorus camila cabello pharrell williams havana ooh na-na half heart havana ooh na-na took back east atlanta na-na-na hey hey oh heart havana heart havana hey havana ooh na-na uh-huh outro starrah camila cabello oh na-na-na oh na yeah oh na-na-na oh na-na-na take back oh na-na-na havana ooh na-na
5,"""Rockstar""",Post Malone featuring 21 Savage,https://genius.com/Post-malone-rockstar-lyrics,hahahahaha tank god ayy ayy fuckin hoe poppin pillies man feel like rockstar brother got gas always smokin like rasta fuckin call uzi show man shottas homies pull block make thing go grra-ta-ta-ta switch whip came back black startin sayin rest peace bon scott close door blowin smoke ask light fire like morrison act fool stage prolly leave fuckin show cop car shit legendary threw tv window montage cocaine table liquor pourin give damn dude girlfriend groupie tryna get sayin band actin outta pocket tryna grab pant hundred bitch trailer say got man brought friend fuckin hoe poppin pillies man feel like rockstar brother got gas always smokin like rasta fuckin call uzi show man shottas homies pull block make thing go grra-ta-ta-ta hill fuckin superstar feelin like popstar drankin henny bad bitch jumpin pool got bra hit back pullin track screamin ¡no más like savage got twelve car garage got six car cakin kiss wifey say lookin like whole snack green hundred safe got old rack l.a. bitch always askin coke livin like rockstar smash cop car sweeter pop-tart know hard done made hot chart 'member used trap hard livin like rockstar livin like rockstar ayy chorus post malone 21 savage fuckin hoe poppin pillies man feel like rockstar brother got gas always smokin like rasta 'sta yeah yeah yeah yeah fuckin call uzi show man shottas homies pull block make thing go grra-ta-ta-ta star star rockstar rockstar star rockstar rockstar feel like a– rockstar rockstar rockstar feel like a…
6,"""Psycho""",Post Malone featuring Ty Dolla Sign,https://genius.com/Post-malone-psycho-lyrics,damn ap goin psycho lil mama bad like michael ca really trust nobody jewelry roof look like no-show got diamond boatload come tony romo clown bozo ap goin psycho lil mama bad like michael ca really trust nobody jewelry roof look like no-show got diamond boatload act like friend rollin end though stuck friend zone tell four-five fifth ayy hunnid band inside short dechino shit ayy try stuff even fit ayy know shit ever since jit ayy made first million like shit ayy 30 walkthrough man bitch lit ayy many bottle gave ugly girl sip window benzo get seen rent like woah man neck goddamn cold ” diamond wet t-shirt soaked got homies let go oh money thick wo ever fold said hold ca ever tell damn ap goin psycho lil mama bad like michael ca really trust nobody jewelry roof look like no-show got diamond boatload come tony romo clown bozo ap goin psycho lil mama bad like michael ca really trust nobody jewelry roof look like no-show got diamond boatload act like friend rollin end though ap goin psycho rollie goin brazy hittin lil mama wan na baby fifty pinky chain stanky see whip promise take yo bitch dolla ridin old school chevy drop top boolin thot-thot gon give top-top one switch make as drop ayy take smoke shop gon get high ayy gon hit rodeo dial valentino gon hit pico take take slum happen overnight diamond real bright saint laurent jean still van though vvs put necklace girl look beautiful tonight star roof matching jewelry damn ap goin psycho lil mama bad like michael ca really trust nobody jewelry roof look like no-show got diamond boatload come tony romo clown bozo ap goin psycho lil mama bad like michael ca really trust nobody jewelry roof look like no-show got diamond boatload act like friend rollin end though
7,"""I Like It""","Cardi B, Bad Bunny and J Balvin",https://genius.com/2019-grammy-awards-record-of-the-year-nominees-annotated,recording engineer and/or mixer mastering engineer artist • like cardi b bad bunny j balvin invincible jwhitedidit craig kallman tainy producer leslie brathwaite evan laray engineers/mixers colin leonard mastering engineer track invasion privacy • joke brandi carlile dave cobb shooter jennings producer tom elmhirst eddie spear engineers/mixers pete lyman mastering engineer track way forgive • america childish gambino donald glover ludwig goransson producer derek “ mixedbyali ” ali riley mackin engineers/mixers mike bozzi mastering engineer • god plan drake boi-1da cardo young exclusive producer noel cadastre noel gadget campbell noah shebib engineers/mixers chris athens mastering engineer • shallow lady gaga bradley cooper lady gaga benjamin rice producer tom elmhirst engineer/mixer randy merrill mastering engineer • star kendrick lamar sza al shux sounwave producer sam ricci matt schaeffer engineers/mixers mike bozzi mastering engineer track black panther album music inspired • rockstar post malone featuring 21 savage louis bell tank god producer louis bell manny marroquin engineers/mixers mike bozzi mastering engineer • middle zedd maren morris grey grey monster strangerz zedd producer grey tom morris ryan shanahan zedd engineers/mixers mike marsh mastering engineer
8,"""The Middle""","Zedd, Maren Morris and Grey",https://genius.com/5-seconds-of-summer-the-middle-zedd-maren-morris-and-grey-cover-lyrics,one two egg verse 1 luke ashton take seat right sat stair stay leave cabinet bare unaware got mess got aggressive know meant good intention two three pre-chorus luke ashton pull closer pull close come ca let go one two chorus luke ashton oh baby meet middle losing mind little hey meet middle middle baby meet middlе losing mind little meet middlе middle take step back minute kitchen floor wet tap still runnin dish broken get mess got aggressive know meant good intention pre-chorus michael michael ashton pull closer pull close come ca let go oh baby meet middle losing mind little meet middle middle baby meet middle losing mind little meet middle middle middle middle yeah
9,"""In My Feelings""",Drake,https://genius.com/Drake-in-my-feelings-lyrics,trap trapmoneybenny shit got feeling got ta real yeah kiki love riding say never ever leave beside 'cause want ya need ya always kb love riding say never ever leave beside 'cause want ya need ya always look new really still real swear got ta feel try kill got ta make choice runnin option 'cause goin know stoppin get toppin see learnin take shoppin spend like earned popped ex deserved thought one jump confirmed trapmoneybenny ayy buy champagne love henny block like jenny know special girl 'cause know many 'resha love riding say never ever leave beside 'cause want ya need ya always jt love riding say never ever leave beside 'cause want ya need ya always interlude jt yung miami drake magnolia shorty two bad bitch kissin wraith kissin'-kissin wraith kiss-kissin wraith need black card code safe code safe code-code safe-safe show neck work fuck netflix chill net-net-net worth 'cause want ya need ya always yeah yeah yeah yeah bad always yeah yeah yeah guess back always d-down al– black biggy biggy black biggy black blake d-d-down always got new boy nigga trade kiki love riding say never ever leave beside 'cause want need always kb love riding say never ever leave beside 'cause want ya i– breakdown lil wayne magnolia shorty skate smoke rap let see bring as bring as bring as back b-bring as bring as bring as back shawty say nigga ca hit shawty i'ma hit hit like ca miss let see clap as one love clap as clap-clap as bring as back clap-clap-clap as one love let go let go let go bring as back trap trapmoneybenny shit got feeling got ta real ayy yup blaqnmild genius diggin know even care need photo drake instagram weak fuck real shit look—
10,"""Girls Like You""",Maroon 5 featuring Cardi B,https://genius.com/Maroon-5-girls-like-you-lyrics,spent twenty-four hour need hour spent weekend getting even ooh spent late night making thing right u good babe roll backwood babe play close 'cause girl like run 'round guy like 'til sundown come need girl like yeah-yeah girl like love fun yeah want come need girl like yeah-yeah yeah-yeah-yeah yeah-yeah-yeah need girl like yeah-yeah yeah-yeah-yeah yeah-yeah-yeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make thing right u good babe roll backwood babe play close 'cause girl like run 'round guy like 'til sundown come need girl like yeah-yeah girl like love fun yeah want come need girl like yeah-yeah yeah-yeah-yeah yeah-yeah-yeah need girl like yeah-yeah yeah-yeah-yeah yeah-yeah-yeah need girl like yeah-yeah need girl like yeah-yeah need girl like maybe six forty-five maybe barely alive maybe taken shit last time yeah maybe know drunk maybe know one maybe thinking better drive oh 'cause girl like run 'round guy like 'til sundown come need girl like yeah 'cause girl like run 'round guy like 'til sundown come need girl like yeah-yeah girl like love fun yeah want come need girl like yeah-yeah yeah-yeah-yeah yeah-yeah-yeah need girl like yeah-yeah yeah-yeah-yeah yeah-yeah-yeah need girl like
