No.,Title,Artist,Lyrics_URL
1,"""We Belong Together""",Mariah Carey,https://genius.com/Mariah-carey-we-belong-together-lyrics
2,"""Hollaback Girl""",Gwen Stefani,https://genius.com/Gwen-stefani-hollaback-girl-lyrics
3,"""Let Me Love You""",Mario,https://genius.com/Mario-let-me-love-you-lyrics
4,"""Since U Been Gone""",Kelly Clarkson,https://genius.com/Kelly-clarkson-since-u-been-gone-lyrics
5,"""1, 2 Step""",Ciara featuring Missy Elliott,https://genius.com/Ciara-1-2-step-lyrics
6,"""Gold Digger""",Kanye West featuring Jamie Foxx,https://genius.com/Apologetix-bone-digger-lyrics
7,"""Boulevard of Broken Dreams""",Green Day,https://genius.com/Green-day-boulevard-of-broken-dreams-lyrics
8,"""Candy Shop""",50 Cent featuring Olivia,https://genius.com/Hitradio-o3-nummer-eins-hits-in-osterreich-2005-annotated
9,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,https://genius.com/Avid-all-stars-dont-cha-in-the-style-of-pussy-cat-dolls-lyrics
10,"""Behind These Hazel Eyes""",Kelly Clarkson,https://genius.com/Kelly-clarkson-behind-these-hazel-eyes-lyrics
11,"""Disco Inferno""",50 Cent,https://genius.com/50-cent-disco-inferno-lyrics
12,"""You and Me""",Lifehouse,https://genius.com/Lifehouse-you-and-me-lyrics
13,"""Don't Phunk with My Heart""",The Black Eyed Peas,https://genius.com/Black-eyed-peas-dont-phunk-with-my-heart-lyrics
14,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,https://genius.com/Missy-elliott-lose-control-lyrics
15,"""Shake It Off""",Mariah Carey,https://genius.com/Mariah-carey-shake-it-off-lyrics
16,"""Mr. Brightside""",The Killers,https://genius.com/The-killers-mr-brightside-lyrics
17,"""Just a Lil Bit""",50 Cent,https://genius.com/50-cent-just-a-lil-bit-lyrics
18,"""Pon de Replay""",Rihanna,https://genius.com/Rihanna-pon-de-replay-lyrics
19,"""How We Do""",The Game featuring 50 Cent,https://genius.com/Kenny-huskins-on-the-road-003-how-we-do-the-game-50-cent-freestyle-lyrics
20,"""Beverly Hills""",Weezer,https://genius.com/Weezer-beverly-hills-lyrics
21,"""Oh""",Ciara featuring Ludacris,https://genius.com/Girl-talk-warm-it-up-lyrics
22,"""Lonely No More""",Rob Thomas,https://genius.com/Rob-thomas-lonely-no-more-lyrics
23,"""Drop It Like It's Hot""",Snoop Dogg featuring Pharrell,https://genius.com/Little-mix-the-get-weird-tour-setlist-annotated
24,"""Hate It or Love It""",The Game featuring 50 Cent,https://genius.com/Xxxxxxxxxx-my-top-thirty-favorite-songs-annotated
25,"""Lovers & Friends""",Lil Jon & the East Side Boyz featuring Usher and Ludacris,https://genius.com/Billboard-hot-rap-songs-chart-25th-anniversary-top-100-songs-lyrics
26,"""Soldier""",Destiny's Child featuring T.I. and Lil Wayne,https://genius.com/Destinys-child-soldier-lyrics
27,"""Breakaway""",Kelly Clarkson,https://genius.com/Kelly-clarkson-breakaway-lyrics
28,"""Switch""",Will Smith,https://genius.com/Will-smith-switch-lyrics
29,"""Let Me Hold You""",Bow Wow featuring Omarion,https://genius.com/Brockhampton-things-we-lost-in-the-fire-radio-episode-2-tracklist-lyrics
30,"""Like You""",Bow Wow featuring Ciara,https://genius.com/Bow-wow-like-you-lyrics
31,"""Rich Girl""",Gwen Stefani featuring Eve,https://genius.com/Gwen-stefani-rich-girl-lyrics
32,"""My Humps""",The Black Eyed Peas,https://genius.com/Girl-talk-warm-it-up-lyrics
33,"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,https://genius.com/Frankie-j-obsession-no-es-amor-lyrics
34,"""Caught Up""",Usher,https://genius.com/Usher-caught-up-lyrics
35,"""Listen to Your Heart""",DHT featuring Edmee,https://genius.com/Dht-listen-to-your-heart-edmees-unplugged-vocal-edit-lyrics
36,"""Scars""",Papa Roach,https://genius.com/Papa-roach-scars-lyrics
37,"""Feel Good Inc.""",Gorillaz,https://genius.com/Gorillaz-feel-good-inc-lyrics
38,"""Let Me Go""",3 Doors Down,https://genius.com/3-doors-down-let-me-go-lyrics
39,"""Holiday""",Green Day,https://genius.com/Green-day-holiday-lyrics
40,"""Sugar, We're Goin Down""",Fall Out Boy,https://genius.com/Fall-out-boy-sugar-were-goin-down-lyrics
41,"""Grind with Me""",Pretty Ricky,https://genius.com/Pretty-ricky-grind-with-me-lyrics
42,"""Run It!""",Chris Brown featuring Juelz Santana,https://genius.com/Girl-talk-friday-night-lyrics
43,"""Photograph""",Nickelback,https://genius.com/Nickelback-photograph-lyrics
44,"""Lonely""",Akon,https://genius.com/Akon-lonely-lyrics
45,"""Collide""",Howie Day,https://genius.com/Howie-day-collide-lyrics
46,"""Wake Me Up When September Ends""",Green Day,https://genius.com/Green-day-wake-me-up-when-september-ends-lyrics
47,"""Slow Down""",Bobby Valentino,https://genius.com/Bobby-v-slow-down-lyrics
48,"""Over and Over""",Nelly featuring Tim McGraw,https://genius.com/Bexblu-paul-stephan-and-to-producedit-wizzy-lyrics
49,"""Some Cut""",Trillville featuring Cutty,https://genius.com/Trillville-some-cut-lyrics
50,"""Get It Poppin'""",Fat Joe featuring Nelly,https://genius.com/Fat-joe-get-it-poppin-lyrics
51,"""Play""",David Banner,https://genius.com/David-banner-play-lyrics
52,"""Soul Survivor""",Young Jeezy featuring Akon,https://genius.com/Scatta-g-the-recession-lyrics
53,"""Pimpin' All Over the World""",Ludacris featuring Bobby Valentino,https://genius.com/Ludacris-pimpin-all-over-the-world-lyrics
54,"""My Boo""",Usher and Alicia Keys,https://genius.com/Tony-yayo-curious-lyrics
55,"""Sugar (Gimme Some)""","Trick Daddy featuring Ludacris, Lil' Kim and Cee Lo Green",https://genius.com/Trick-daddy-sugar-remix-lyrics
56,"""Karma""",Alicia Keys,https://genius.com/Alicia-keys-karma-lyrics
57,"""Speed of Sound""",Coldplay,https://genius.com/Coldplay-speed-of-sound-lyrics
58,"""I Don't Want to Be""",Gavin DeGraw,https://genius.com/Gavin-degraw-i-dont-want-to-be-lyrics
59,"""Mockingbird""",Eminem,https://genius.com/Eminem-mockingbird-lyrics
60,"""La Tortura""",Shakira featuring Alejandro Sanz,https://genius.com/Genius-lists-spanglish-songs-list-of-songs-in-english-and-spanish-lista-de-canciones-en-espanol-e-ingles-annotated
61,"""She Will Be Loved""",Maroon 5,https://genius.com/Maroon-5-she-will-be-loved-lyrics
62,"""Baby I'm Back""",Baby Bash featuring Akon,https://genius.com/Baby-bash-baby-im-back-ft-akon-lyrics
63,"""Wait (The Whisper Song)""",Ying Yang Twins,https://genius.com/Ying-yang-twins-wait-the-whisper-song-lyrics
64,"""Incomplete""",Backstreet Boys,https://genius.com/Backstreet-boys-incomplete-lyrics
65,"""Bring Em Out""",T.I.,https://genius.com/Ti-bring-em-out-lyrics
66,"""Cater 2 U""",Destiny's Child,https://genius.com/Destinys-child-cater-2-u-lyrics
67,"""1 Thing""",Amerie,https://genius.com/Amerie-1-thing-lyrics
68,"""Best of You""",Foo Fighters,https://genius.com/Foo-fighters-best-of-you-lyrics
69,"""It's Like That""",Mariah Carey featuring Jermaine Dupri and Fatman Scoop,https://genius.com/Mariah-carey-its-like-that-mixed-lyrics
70,"""Goin' Crazy""",Natalie,https://genius.com/Natalie-alvarado-goin-crazy-lyrics
