Title,Artist,UG_link
"""Heat Waves""",Glass Animals,https://tabs.ultimate-guitar.com/tab/glass-animals/heat-waves-chords-3226007
"""As It Was""",Harry Styles,https://tabs.ultimate-guitar.com/tab/harry-styles/as-it-was-chords-4134073
"""Stay""",The Kid Laroi and Justin Bieber,https://tabs.ultimate-guitar.com/tab/the-kid-laroi/stay-chords-3421793
"""Easy on Me""",Adele,https://tabs.ultimate-guitar.com/tab/adele/easy-on-me-chords-3911342
"""Shivers""",Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/shivers-chords-3867803
"""First Class""",Jack Harlow,https://tabs.ultimate-guitar.com/tab/jack-harlow/first-class-chords-4171822
"""Big Energy""",Latto,https://tabs.ultimate-guitar.com/tab/latto/big-energy-chords-4314518
"""Ghost""",Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/ghost-chords-3618965
"""Super Gremlin""",Kodak Black,not found
"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa,https://tabs.ultimate-guitar.com/tab/elton-john/cold-heart-pnau-remix-chords-3839657
"""Wait for U""",Future featuring Drake and Tems,not found
"""About Damn Time""",Lizzo,https://tabs.ultimate-guitar.com/tab/lizzo/about-damn-time-chords-4203715
"""Bad Habits""",Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/bad-habits-chords-3766352
"""Thats What I Want""",Lil Nas X,https://tabs.ultimate-guitar.com/tab/lil-nas-x/thats-what-i-want-chords-3820658
"""Enemy""",Imagine Dragons and JID,https://tabs.ultimate-guitar.com/tab/misc-cartoons/arcane-league-of-legends-enemy-chords-3927770
"""Industry Baby""",Lil Nas X and Jack Harlow,https://tabs.ultimate-guitar.com/tab/lil-nas-x/industry-baby-chords-3803573
"""ABCDEFU""",Gayle,https://tabs.ultimate-guitar.com/tab/gayle/abcdefu-chords-3973525
"""Need to Know""",Doja Cat,https://tabs.ultimate-guitar.com/tab/doja-cat/need-to-know-chords-3787253
"""Wasted on You""",Morgan Wallen,https://tabs.ultimate-guitar.com/tab/morgan-wallen/wasted-on-you-chords-3317630
"""Me Porto Bonito""",Bad Bunny and Chencho Corleone,https://tabs.ultimate-guitar.com/tab/bad-bunny/pitorro-de-coco-chords-5664828
"""Woman""",Doja Cat,https://tabs.ultimate-guitar.com/tab/doja-cat/woman-chords-3766796
"""Tití Me Preguntó""",Bad Bunny,not found
"""Running Up That Hill (A Deal with God)""",Kate Bush,not found
"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie 
Beatriz and the *Encanto* cast",not found
"""Late Night Talking""",Harry Styles,https://tabs.ultimate-guitar.com/tab/harry-styles/late-night-talking-chords-4154926
"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,https://tabs.ultimate-guitar.com/tab/post-malone/i-like-you-a-happier-song-chords-4217653
"""You Proof""",Morgan Wallen,https://tabs.ultimate-guitar.com/tab/morgan-wallen/you-proof-chords-4189486
"""Bad Habit""",Steve Lacy,https://tabs.ultimate-guitar.com/tab/steve-lacy/bad-habit-chords-4253098
"""Sunroof""",Nicky Youre and Dazy,https://tabs.ultimate-guitar.com/tab/nicky-youre/sunroof-chords-4039162
