Title,Artist,UG_link
"""Check on It""",Beyoncé featuring Slim Thug and Bun B,https://tabs.ultimate-guitar.com/tab/bon-jovi/livin-on-a-prayer-chords-687555
"""Be Without You""",Mary J. Blige,https://tabs.ultimate-guitar.com/tab/charlie-burg/i-dont-wanna-be-okay-without-you-chords-2438013
"""Grillz""",Nelly featuring Paul Wall and Ali & Gipp,https://tabs.ultimate-guitar.com/tab/paul-kelly-and-the-coloured-girls/to-her-door-chords-1213187
"""Me & U""",Cassie,https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-57606
"""Move Along""",The All-American Rejects,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/all-along-the-watchtower-chords-810679
"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,https://tabs.ultimate-guitar.com/tab/bon-jovi/ill-be-there-for-you-chords-330018
"""Lean wit It, Rock wit It""",Dem Franchize Boyz featuring Peanut and Charlay,https://tabs.ultimate-guitar.com/tab/lizzy-mcalpine/pushing-it-down-and-praying-chords-5433441
"""What Hurts the Most""",Rascal Flatts,https://tabs.ultimate-guitar.com/tab/rascal-flatts/bless-the-broken-road-chords-143089
"""(When You Gonna) Give It Up to Me""",Sean Paul featuring Keyshia Cole,https://tabs.ultimate-guitar.com/tab/foo-fighters/never-gonna-give-you-up-chords-2266705
"""I'm 'n Luv (wit a Stripper)""",T-Pain featuring Mike Jones,https://tabs.ultimate-guitar.com/tab/bob-dylan/like-a-rolling-stone-chords-371756
"""My Humps""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/sonicflood/open-the-eyes-of-my-heart-chords-364369
"""Don't Forget About Us""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/michael-jackson/they-dont-care-about-us-chords-58562
"""Sexy Love""",Ne-Yo,https://tabs.ultimate-guitar.com/tab/the-beatles/love-me-do-chords-17428
"""There It Go (The Whistle Song)""",Juelz Santana,https://tabs.ultimate-guitar.com/tab/whitey-morgan-and-the-78s/where-do-you-want-it-chords-5598855
"""Gimme That""",Chris Brown featuring Lil Wayne,https://tabs.ultimate-guitar.com/tab/david-guetta/i-can-only-imagine-chords-2102215
"""I Know You See It""",Yung Joc,https://tabs.ultimate-guitar.com/tab/ysabelle-cuevas/i-like-you-so-much-youll-know-it-chords-2381791
"""Pump It""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/paint-it-black-chords-606572
"""I'm Sprung""",T-Pain,https://tabs.ultimate-guitar.com/tab/depeche-mode/a-pain-that-im-used-to-chords-1775313
"""Do I Make You Proud""",Taylor Hicks,https://tabs.ultimate-guitar.com/tab/heart/all-i-wanna-do-is-make-love-to-you-chords-1801377
"""For You I Will (Confidence)""",Teddy Geiger,https://tabs.ultimate-guitar.com/tab/death-cab-for-cutie/i-will-follow-you-into-the-dark-chords-204631
