Title,Artist,Chords
"""Irreplaceable""",Beyoncé,not found
"""Umbrella""",Rihanna featuring Jay-Z,"['F', 'C', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'Bb', 'F', 'C', 'Bb', 'F', 'E7', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am', 'F', 'C/G', 'E7', 'Am']"
"""The Sweet Escape""",Gwen Stefani featuring Akon,not found
"""Big Girls Don't Cry""",Fergie,not found
"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,not found
"""Before He Cheats""",Carrie Underwood,"['F#m', 'E', 'D', 'E', 'F#m', 'E', 'D', 'C#', 'F#m', 'E', 'D', 'C#7', 'F#m', 'E', 'D', 'C#7', 'F#m', 'E', 'D', 'B', 'C#', 'D', 'F#m', 'D', 'F#m', 'F#m', 'D', 'C#', 'D', 'F#m', 'D', 'F#', 'D', 'C#', 'F#m', 'F#m', 'E', 'D', 'C#', 'F#m', 'E', 'D', 'C#7', 'F#m', 'E', 'D', 'C#7', 'F#m', 'E', 'D', 'B', 'C#', 'D', 'F#m', 'D', 'F#m', 'F#m', 'D', 'C#', 'D', 'F#m', 'D', 'F#', 'D', 'C#', 'F#m', 'A', 'E', 'D', 'B', 'C#', 'F#m', 'E', 'D', 'C#', 'F#m', 'E', 'D', 'C#', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'C#', 'D', 'F#m', 'D', 'F#m', 'D', 'C#', 'B', 'C#', 'D', 'C#', 'F#m', 'E', 'D', 'C#', 'F#m', 'E', 'D', 'C#']"
"""Hey There Delilah""",Plain White T's,"['D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'D', 'F#m', 'Bm', 'G', 'A', 'Bm', 'A', 'D', 'F#m', 'D', 'F#m', 'Bm', 'G', 'A', 'Bm', 'A', 'D', 'Bm', 'D', 'Bm', 'A', 'D', 'Bm', 'D', 'Bm', 'D', 'D', 'F#m', 'D', 'F#m', 'Bm', 'G', 'A', 'Bm', 'A', 'D', 'F#m', 'D', 'F#m', 'Bm', 'G', 'A', 'Bm', 'A', 'D', 'Bm', 'D', 'Bm', 'A', 'D', 'Bm', 'D', 'Bm', 'A', 'G', 'A', 'D', 'Bm', 'G', 'A', 'D', 'Bm', 'G', 'A', 'Bm', 'A', 'D', 'F#m', 'D', 'F#m', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'G', 'A', 'Bm', 'A', 'D', 'Bm', 'D', 'Bm', 'A', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'Bm', 'D', 'D']"
"""I Wanna Love You""",Akon featuring Snoop Dogg,not found
"""Say It Right""",Nelly Furtado,not found
"""Glamorous""",Fergie featuring Ludacris,"['Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A']"
"""Don't Matter""",Akon,"['Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'F', 'Gm', 'Eb', 'Bb', 'Bb', 'F', 'Gm', 'Eb', 'Bb']"
