Title,Artist,Harmony,Intervals,Interval_Variance
"""God's Plan""",Drake,"[1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 3]","[2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 4, -4, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 4]",4.377174515235458
"""Perfect""",Ed Sheeran,"[1, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 1, 5, 1, 6, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 1, 1, 5, 6, 5, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 1, 5, 1, 6, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 1, 1, 1, 6, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 1, 4, 5, 5, 1, 1, 5, 6, 5, 4, 5, 1]","[0, -3, -4, 2, 5, -3, -4, 2, 5, -3, -4, -5, -5, 5, -3, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 5, 0, -5, 2, -2, -2, 2, 5, -3, -4, 2, 5, -3, -4, 2, 5, -3, -4, -5, -5, 5, -3, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 5, 0, 0, -3, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 5, 5, 2, 0, 5, 0, -5, 2, -2, -2, 2, 5]",12.865053716481789
"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,"[1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1, 1, 2, 6, 4, 1, 1, 6, 4, 1, 1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 2, 6, 4, 1, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1, 1, 2, 6, 4, 1, 1, 6, 4, 1, 1, 2, 6, 4, 1, 2, 4, 1, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1, 1, 2, 6, 4, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1, 1, 1, 6, 4, 1]","[2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 0, -3, -4, -5, 0, 0, -3, -4, -5, 0, 2, -5, -4, -5, 0, -3, -4, -5, 0, 2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 2, -5, -4, -5, 0, 0, -3, -4, -5, 0, 0, -3, -4, -5, 0, 2, -5, -4, -5, 0, -3, -4, -5, 0, 2, -5, -4, -5, 2, 3, -5, 0, 0, -3, -4, -5, 0, 0, -3, -4, -5, 0, 0, -3, -4, -5, 0, 2, -5, -4, -5, 0, -3, -4, -5, 0, 0, -3, -4, -5, 0, 0, -3, -4, -5]",6.630593132154007
"""Havana""",Camila Cabello featuring Young Thug,"[1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5]","[-4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, 0, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 0, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 0, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, 0, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, 0, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1, 5, 0, -4, -1, 5, -4, -1, 5, -4, -1, 5, -4, -1]",13.305237359475731
"""Rockstar""",Post Malone featuring 21 Savage,"[1, 5, 5, 7, 3, 5, 5, 7, 5, 7, 3, 5, 5, 7, 3, 5, 7, 3, 5, 7, 3, 5, 3, 5, 7, 3, 5, 5, 7, 5, 7, 3, 5, 7, 0, 3, 5, 7, 3, 0, 5, 5, 7, 3, 3, 5, 1, 3, 7, 1, 5, 7, 3, 5, 5, 7, 5, 7, 3, 5, 5, 3, 5, 5, 5, 5]","[-5, 0, 3, 5, 4, 0, 3, -3, 3, 5, 4, 0, 3, 5, 4, 3, 5, 4, 3, 5, 4, -4, 4, 3, 5, 4, 0, 3, -3, 3, 5, 4, 3, -1, -6, 4, 3, 5, -6, -2, 0, 3, 5, 0, 4, 5, 3, -5, 2, -5, 3, 5, 4, 0, 3, -3, 3, 5, 4, 0, -4, 4, 0, 0, 0]",10.20828402366864
"""Psycho""",Post Malone featuring Ty Dolla Sign,not found,not found,not found
"""I Like It""","Cardi B, Bad Bunny and J Balvin",not found,not found,not found
"""The Middle""","Zedd, Maren Morris and Grey",not found,not found,not found
"""In My Feelings""",Drake,"[1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 7, 7, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 1]","[-1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 0, 0, 0, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1]",0.9577464788732394
"""Girls Like You""",Maroon 5 featuring Cardi B,"[1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 1, 5, 6, 3, 4, 1, 4, 5, 4, 5, 4, 5, 1, 1]","[-5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, 5, -5, 2, -5, 1, -5, 5, 2, -2, 2, -2, 2, 5, 0]",16.375690607734807
