Title,Artist,Main_Harmony,Main_Interval_Harmony
"""Somebody That I Used to Know""",Gotye featuring Kimbra,"(7, 1)","(2, -2)"
"""Call Me Maybe""",Carly Rae Jepsen,"(5, 1, 5, 4)","(-2, -5, 5, 2)"
"""We Are Young""",Fun featuring Janelle Monáe,"(1, 4, 1, 2, 1, 0, 1)","(7, -7, -2, 2)"
"""Payphone""",Maroon 5 featuring Wiz Khalifa,"(1, 5, 3, 2)","(2, 2, -7, 3)"
"""Lights""",Ellie Goulding,"(1, 7)","(2, -2)"
"""Glad You Came""",The Wanted,"(1, 3)","(-4, 4)"
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,"(1, 6, 3, 7)","(5, -7, -2, 4)"
"""We Found Love""",Rihanna featuring Calvin Harris,"(1, 6, 3, 7)","(4, 5, -7, -2)"
"""Starships""",Nicki Minaj,"(4, 6, 3, 4, 1, 5)","(5, -1, 5, -7, 2, -4)"
"""What Makes You Beautiful""",One Direction,"(1, 4, 5)","(-5, -2, 7)"
"""Wild Ones""",Flo Rida featuring Sia,"(1, 3, 6)","(8, -5)"
"""Set Fire to the Rain""",Adele,"(7, 1, 7, 4)","(-3, 5, -7, 5)"
"""Sexy and I Know It""",LMFAO,"(1, 2, 4, 5)","(-2, -3, 10, -5)"
"""Some Nights""",Fun,"(1, 4)","(-5, 5)"
"""Wide Awake""",Katy Perry,"(1, 3, 7, 4)","(5, -7, 5, -3)"
"""Good Feeling""",Flo Rida,"(1, 3, 7, 6)","(-3, -7, 2, 8)"
"""Whistle""",Flo Rida,"(1, 6, 4, 5)","(-9, 4, -2, 7)"
"""One More Night""",Maroon 5,"(1, 5, 4)","(5, -10, 5)"
"""Drive By""",Train,"(6, 3, 7, 1)","(5, -7, -2, 2)"
"""The Motto""",Drake featuring Lil Wayne,not found,not found
"""Where Have You Been""",Rihanna,"(1, 6, 7)","(-8, -2, 10)"
"""Everybody Talks""",Neon Trees,"(1, 4, 5, 4)","(-5, -2, 2, 5)"
"""Take Care""",Drake featuring Rihanna,"(1, 7, 6)","(2, 2, -4)"
"""Titanium""",David Guetta featuring Sia,"(5, 3, 6, 4)","(-2, 3, -5, 4)"
"""I Won't Give Up""",Jason Mraz,"(1, 5, 3, 2)","(5, -9, 2, 2)"
"""It Will Rain""",Bruno Mars,"(1, 0, 1, 6, 2)","(2, -2, 3, -5, 2)"
"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",not found,not found
"""Boyfriend""",Justin Bieber,"(1, 4, 7, 3)","(7, -5, 7, -9)"
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,"(1, 5, 4)","(5, 2, -7)"
"""Too Close""",Alex Clare,"(1, 3, 4, 6, 5)","(9, -2, -3, 1, -5)"
"""Part of Me""",Katy Perry,"(6, 4, 6, 1)","(-8, 3, -3, 8)"
"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,"(1, 5, 1, 3)","(5, -5, -4, 4)"
"""We Are Never Ever Getting Back Together""",Taylor Swift,"(2, 3, 1, 5)","(-7, 5, -2, 4)"
"""As Long as You Love Me""",Justin Bieber featuring Big Sean,"(7, 1, 6)","(-2, 4, -2)"
"""Turn Me On""",David Guetta featuring Nicki Minaj,"(1, 7, 6)","(-10, 2, 8)"
"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,"(1, 3, 7, 6)","(-3, 5, 2, -4)"
"""Blow Me (One Last Kiss)""",Pink,"(6, 4, 1, 3)","(-4, 7, 4, -7)"
"""Good Time""",Owl City and Carly Rae Jepsen,not found,not found
"""Give Your Heart a Break""",Demi Lovato,"(1, 5, 3, 2)","(-10, 5, 3, 2)"
"""Niggas in Paris""",Jay-Z and Kanye West,not found,not found
"""The One That Got Away""",Katy Perry,not found,not found
