Title,Artist,Main_Harmony
"""Heat Waves""",Glass Animals,"(5, 4, 1, 7, 5, 4, 3, 7)"
"""As It Was""",Harry Styles,"(1, 4, 7, 3)"
"""Stay""",The Kid Laroi and Justin Bieber,"(1,)"
"""Easy on Me""",Adele,"(1, 6, 3, 4)"
"""Shivers""",Ed Sheeran,"(1, 6, 3, 7)"
"""First Class""",Jack Harlow,"(6,)"
"""Big Energy""",Latto,"(1, 2, 6)"
"""Ghost""",Justin Bieber,"(6, 3, 7, 1)"
"""Super Gremlin""",Kodak Black,not found
"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa,"(6, 5, 1, 4)"
"""Wait for U""",Future featuring Drake and Tems,not found
"""About Damn Time""",Lizzo,"(1, 7, 0)"
"""Bad Habits""",Ed Sheeran,"(1, 3, 6, 7, 1, 3, 4, 6)"
"""Thats What I Want""",Lil Nas X,"(5, 7, 1)"
"""Enemy""",Imagine Dragons and JID,"(1, 7)"
"""Industry Baby""",Lil Nas X and Jack Harlow,"(5,)"
"""ABCDEFU""",Gayle,"(1, 3, 6, 4)"
"""Need to Know""",Doja Cat,"(7, 1, 1, 7)"
"""Wasted on You""",Morgan Wallen,"(0, 4, 1, 0, 2)"
"""Me Porto Bonito""",Bad Bunny and Chencho Corleone,not found
"""Woman""",Doja Cat,"(2, 1)"
"""Tití Me Preguntó""",Bad Bunny,not found
"""Running Up That Hill (A Deal with God)""",Kate Bush,not found
"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie 
Beatriz and the *Encanto* cast",not found
"""Late Night Talking""",Harry Styles,"(4, 3)"
"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,"(5, 1, 2)"
"""You Proof""",Morgan Wallen,"(5, 1, 3)"
"""Bad Habit""",Steve Lacy,"(2, 1, 2, 6)"
"""Sunroof""",Nicky Youre and Dazy,"(1, 5, 2, 3)"
"""One Right Now""",Post Malone and the Weeknd,"(1, 3, 5, 1)"
"""Good 4 U""",Olivia Rodrigo,"(7, 1, 7, 6, 3)"
"""Numb Little Bug""",Em Beihold,"(1, 2, 3)"
"""Jimmy Cooks""",Drake featuring 21 Savage,not found
"""'Til You Can't""",Cody Johnson,"(1,)"
"""Fancy Like""",Walker Hayes,"(1,)"
"""The Kind of Love We Make""",Luke Combs,"(1, 3)"
"""I Ain't Worried""",OneRepublic,"(1, 6, 3, 5)"
"""Break My Soul""",Beyoncé,not found
"""Something in the Orange""",Zach Bryan,"(1, 6, 3, 7)"
"""Save Your Tears""",The Weeknd and Ariana Grande,not found
"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak),not found
"""Levitating""",Dua Lipa,"(1, 5, 4, 1)"
"""In a Minute""",Lil Baby,not found
"""Moscow Mule""",Bad Bunny,"(3, 1, 6, 3)"
