Title,Artist,Duration_ms,Duration_s,Duration_min
"""Blinding Lights""",The Weeknd,200040,200.04,3.33
"""Circles""",Post Malone,215280,215.28,3.59
"""The Box""",Roddy Ricch,196652,196.65,3.28
"""Don't Start Now""",Dua Lipa,183290,183.29,3.05
"""Rockstar""",DaBaby featuring Roddy Ricch,181733,181.73,3.03
"""Adore You""",Harry Styles,207133,207.13,3.45
"""Life Is Good""",Future featuring Drake,237735,237.74,3.96
"""Memories""",Maroon 5,189486,189.49,3.16
"""The Bones""",Maren Morris,197293,197.29,3.29
"""Someone You Loved""",Lewis Capaldi,182160,182.16,3.04
"""Say So""",Doja Cat,237893,237.89,3.96
"""I Hope""",Gabby Barrett featuring Charlie Puth,210772,210.77,3.51
"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",139741,139.74,2.33
"""Dance Monkey""",Tones and I,209438,209.44,3.49
"""Savage""",Megan Thee Stallion featuring Beyoncé,155497,155.5,2.59
"""Roxanne""",Arizona Zervas,163636,163.64,2.73
"""Intentions""",Justin Bieber featuring Quavo,212866,212.87,3.55
"""Everything I Wanted""",Billie Eilish,245425,245.43,4.09
"""Roses (Imanbek remix)""",Saint Jhn,176840,176.84,2.95
"""Watermelon Sugar""",Harry Styles,174000,174.0,2.9
"""Before You Go""",Lewis Capaldi,215106,215.11,3.59
"""Falling""",Trevor Daniel,159381,159.38,2.66
"""10,000 Hours""",Dan + Shay and Justin Bieber,167693,167.69,2.79
"""WAP""",Cardi B featuring Megan Thee Stallion,187541,187.54,3.13
"""Ballin'""",Mustard and Roddy Ricch,180434,180.43,3.01
"""Hot Girl Bummer""",Blackbear,188343,188.34,3.14
"""Blueberry Faygo""",Lil Mosey,162546,162.55,2.71
"""Heartless""",The Weeknd,198266,198.27,3.3
"""Bop""",DaBaby,159714,159.71,2.66
"""Lose You to Love Me""",Selena Gomez,206458,206.46,3.44
"""Good as Hell""",Lizzo,159735,159.74,2.66
"""Toosie Slide""",Drake,247058,247.06,4.12
"""Break My Heart""",Dua Lipa,221820,221.82,3.7
"""Chasin' You""",Morgan Wallen,205453,205.45,3.42
"""Savage Love (Laxed – Siren Beat)""",Jawsh 685 and Jason Derulo,171374,171.37,2.86
"""No Guidance""",Chris Brown featuring Drake,260640,260.64,4.34
"""My Oh My""",Camila Cabello featuring DaBaby,170746,170.75,2.85
