No.,Title,Artist
1,"""Heat Waves""",Glass Animals
2,"""As It Was""",Harry Styles
3,"""Stay""",The Kid Laroi and Justin Bieber
4,"""Easy on Me""",Adele
5,"""Shivers""",Ed Sheeran
6,"""First Class""",Jack Harlow
7,"""Big Energy""",Latto
8,"""Ghost""",Justin Bieber
9,"""Super Gremlin""",Kodak Black
10,"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa
11,"""Wait for U""",Future featuring Drake and Tems
12,"""About Damn Time""",Lizzo
13,"""Bad Habits""",Ed Sheeran
14,"""Thats What I Want""",Lil Nas X
15,"""Enemy""",Imagine Dragons and JID
16,"""Industry Baby""",Lil Nas X and Jack Harlow
17,"""ABCDEFU""",Gayle
18,"""Need to Know""",Doja Cat
19,"""Wasted on You""",Morgan Wallen
20,"""Me Porto Bonito""",Bad Bunny and Chencho Corleone
21,"""Woman""",Doja Cat
22,"""Tití Me Preguntó""",Bad Bunny
23,"""Running Up That Hill (A Deal with God)""",Kate Bush
24,"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie 
Beatriz and the *Encanto* cast"
25,"""Late Night Talking""",Harry Styles
26,"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat
27,"""You Proof""",Morgan Wallen
28,"""Bad Habit""",Steve Lacy
29,"""Sunroof""",Nicky Youre and Dazy
30,"""One Right Now""",Post Malone and the Weeknd
31,"""Good 4 U""",Olivia Rodrigo
32,"""Numb Little Bug""",Em Beihold
33,"""Jimmy Cooks""",Drake featuring 21 Savage
34,"""'Til You Can't""",Cody Johnson
35,"""Fancy Like""",Walker Hayes
36,"""The Kind of Love We Make""",Luke Combs
37,"""I Ain't Worried""",OneRepublic
38,"""Break My Soul""",Beyoncé
39,"""Something in the Orange""",Zach Bryan
40,"""Save Your Tears""",The Weeknd and Ariana Grande
41,"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak)
42,"""Levitating""",Dua Lipa
43,"""In a Minute""",Lil Baby
44,"""Moscow Mule""",Bad Bunny
45,"""You Right""",Doja Cat and the Weeknd
46,"""She Had Me at Heads Carolina""",Cole Swindell
47,"""Vegas""",Doja Cat
48,"""Pushin P""",Gunna and Future featuring Young Thug
49,"""Buy Dirt""",Jordan Davis and Luke Bryan
50,"""I Hate U""",SZA
51,"""Boyfriend""",Dove Cameron
52,"""Glimpse of Us""",Joji
53,"""Surface Pressure""",Jessica Darrow
54,"""Fall in Love""",Bailey Zimmerman
55,"""Love Nwantiti (Ah Ah Ah)""",CKay
56,"""Super Freaky Girl""",Nicki Minaj
57,"""Hrs and Hrs""",Muni Long
58,"""Sand in My Boots""",Morgan Wallen
59,"""Mamiii""",Becky G and Karol G
60,"""Knife Talk""",Drake featuring 21 Savage and Project Pat
61,"""AA""",Walker Hayes
62,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa
63,"""Provenza""",Karol G
64,"""Essence""",Wizkid featuring Justin Bieber and Tems
65,"""All I Want for Christmas Is You""",Mariah Carey
66,"""Bam Bam""",Camila Cabello featuring Ed Sheeran
67,"""5 Foot 9""",Tyler Hubbard
68,"""Get Into It (Yuh)""",Doja Cat
69,"""Efecto""",Bad Bunny
70,"""Rock and a Hard Place""",Bailey Zimmerman
71,"""Doin' This""",Luke Combs
72,"""Oh My God""",Adele
73,"""Better Days""","Neiked, Mae Muller and Polo G"
74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole
75,"""Fingers Crossed""",Lauren Spencer-Smith
76,"""All Too Well (Taylor's Version)""",Taylor Swift
77,"""Party""",Bad Bunny and Rauw Alejandro
78,"""Después de la Playa""",Bad Bunny
79,"""You Should Probably Leave""",Chris Stapleton
80,"""Rockin' Around the Christmas Tree""",Brenda Lee
81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen
82,"""Take My Name""",Parmalee
83,"""What Happened to Virgil""",Lil Durk featuring Gunna
84,"""Puffin on Zootiez""",Future
85,"""Like I Love Country Music""",Kane Brown
86,"""Jingle Bell Rock""",Bobby Helms
87,"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo
88,"""Trouble with a Heartbreak""",Jason Aldean
89,"""A Holly Jolly Christmas""",Burl Ives
90,"""Kiss Me More""",Doja Cat featuring SZA
91,"""She Likes It""",Russell Dickerson featuring Jake Scott
92,"""Never Say Never""",Cole Swindell and Lainey Wilson
93,"""Damn Strait""",Scotty McCreery
94,"""She's All I Wanna Be""",Tate McRae
95,"""Last Night Lonely""",Jon Pardi
96,"""Flower Shops""",Ernest featuring Morgan Wallen
97,"""To the Moon""",Jnr Choi and Sam Tompkins
98,"""Unholy""",Sam Smith and Kim Petras
99,"""One Mississippi""",Kane Brown
100,"""Circles Around This Town""",Maren Morris
