№,Title,Artist,Tempo
1,"""Irreplaceable""",Beyoncé,    176  BPM 
2,"""Umbrella""",Rihanna featuring Jay-Z,    174  BPM 
3,"""The Sweet Escape""",Gwen Stefani featuring Akon,    120  BPM 
4,"""Big Girls Don't Cry""",Fergie,NOT FOUND
5,"""Buy U a Drank (Shawty Snappin')""",T-Pain featuring Yung Joc,    80  BPM 
6,"""Before He Cheats""",Carrie Underwood,    148  BPM 
7,"""Hey There Delilah""",Plain White T's,    105  BPM 
8,"""I Wanna Love You""",Akon featuring Snoop Dogg,    100  BPM 
9,"""Say It Right""",Nelly Furtado,    117  BPM 
10,"""Glamorous""",Fergie featuring Ludacris,    131  BPM 
11,"""Don't Matter""",Akon,    125  BPM 
12,"""Girlfriend""",Avril Lavigne,    164  BPM 
13,"""Makes Me Wonder""",Maroon 5,    114  BPM 
14,"""Party Like a Rockstar""",Shop Boyz,    145  BPM 
15,"""Smack That""",Akon featuring Eminem,    119  BPM 
16,"""This Is Why I'm Hot""",Mims,    80  BPM 
17,"""It's Not Over""",Daughtry,    146  BPM 
18,"""The Way I Are""",Timbaland featuring Keri Hilson,    115  BPM 
19,"""Fergalicious""",Fergie featuring will.i.am,    129  BPM 
20,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em,NOT FOUND
21,"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,    111  BPM 
22,"""What Goes Around... Comes Around""",Justin Timberlake,NOT FOUND
23,"""Cupid's Chokehold""",Gym Class Heroes featuring Patrick Stump,NOT FOUND
24,"""How to Save a Life""",The Fray,    122  BPM 
25,"""Home""",Daughtry,    144  BPM 
26,"""My Love""",Justin Timberlake featuring T.I.,    120  BPM 
27,"""Stronger""",Kanye West,    104  BPM 
28,"""We Fly High""",Jim Jones,    120  BPM 
29,"""U + Ur Hand""",Pink,NOT FOUND
30,"""Walk It Out""",Unk,    160  BPM 
31,"""Beautiful Girls""",Sean Kingston,    130  BPM 
32,"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,    104  BPM 
33,"""Bartender""",T-Pain featuring Akon,    105  BPM 
34,"""Pop, Lock & Drop It""",Huey,    144  BPM 
35,"""Runaway Love""",Ludacris featuring Mary J. Blige,    93  BPM 
36,"""Rockstar""",Nickelback,    144  BPM 
37,"""Thnks fr th Mmrs""",Fall Out Boy,    155  BPM 
38,"""What I've Done""",Linkin Park,    120  BPM 
39,"""Summer Love""",Justin Timberlake,    96  BPM 
40,"""You""",Lloyd featuring Lil Wayne,    130  BPM 
41,"""Wait for You""",Elliott Yamin,    116  BPM 
42,"""Last Night""",Diddy featuring Keyshia Cole,    122  BPM 
43,"""Make It Rain""",Fat Joe featuring Lil Wayne,    149  BPM 
44,"""Make Me Better""",Fabolous featuring Ne-Yo,    86  BPM 
45,"""Ice Box""",Omarion,    131  BPM 
46,"""Lips of an Angel""",Hinder,    129  BPM 
47,"""Waiting on the World to Change""",John Mayer,    177  BPM 
48,"""Lost Without U""",Robin Thicke,    113  BPM 
49,"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,NOT FOUND
50,"""If Everyone Cared""",Nickelback,    132  BPM 
51,"""Get It Shawty""",Lloyd,NOT FOUND
52,"""Face Down""",The Red Jumpsuit Apparatus,    93  BPM 
53,"""The Way I Live""",Baby Boy da Prince,NOT FOUND
54,"""Shortie Like Mine""",Bow Wow featuring Chris Brown and Johntá Austin,    142  BPM 
55,"""It Ends Tonight""",The All-American Rejects,    88  BPM 
56,"""A Bay Bay""",Hurricane Chris,    61  BPM 
57,"""Because of You""",Ne-Yo,    110  BPM 
58,"""I Tried""",Bone Thugs-n-Harmony featuring Akon,    82  BPM 
59,"""Welcome To The Black Parade""",My Chemical Romance,    97  BPM 
60,"""Shawty""",Plies featuring T-Pain,NOT FOUND
61,"""Chasing Cars""",Snow Patrol,    104  BPM 
62,"""Beautiful Liar""",Beyoncé and Shakira,NOT FOUND
63,"""SexyBack""",Justin Timberlake featuring Timbaland,    117  BPM 
64,"""Keep Holding On""",Avril Lavigne,    161  BPM 
65,"""Let It Go""",Keyshia Cole featuring Missy Elliott and Lil' Kim,    95  BPM 
66,"""Apologize""",OneRepublic,    118  BPM 
67,"""Bubbly""",Colbie Caillat,    128  BPM 
68,"""Like a Boy""",Ciara,    132  BPM 
69,"""Who Knew""",Pink,NOT FOUND
70,"""Never Again""",Kelly Clarkson,    146  BPM 
71,"""Promise""",Ciara,    123  BPM 
72,"""Bed""",J. Holiday,    128  BPM 
73,"""Throw Some D's""",Rich Boy featuring Polow da Don,    161  BPM 
74,"""Rehab""",Amy Winehouse,    73  BPM 
75,"""Big Shit Poppin' (Do It)""",T.I.,NOT FOUND
76,"""No One""",Alicia Keys,    90  BPM 
77,"""The Great Escape""",Boys Like Girls,    150  BPM 
78,"""2 Step""",Unk,NOT FOUND
79,"""Walk Away (Remember Me)""",Paula DeAnda featuring The D.E.Y.,    78  BPM 
80,"""Go Getta""",Young Jeezy featuring R. Kelly,NOT FOUND
81,"""Here (In Your Arms)""",Hellogoodbye,    126  BPM 
82,"""On the Hotline""",Pretty Ricky,    93  BPM 
83,"""Wind It Up""",Gwen Stefani,    120  BPM 
84,"""Cyclone""",Baby Bash featuring T-Pain,    154  BPM 
85,"""Break It Off""",Rihanna featuring Sean Paul,    134  BPM 
86,"""First Time""",Lifehouse,    131  BPM 
87,"""Ayo Technology""",50 Cent featuring Justin Timberlake and Timbaland,    98  BPM 
88,"""Outta My System""",Bow Wow featuring T-Pain and Johntá Austin,    84  BPM 
89,"""Teardrops on My Guitar""",Taylor Swift,    100  BPM 
90,"""Shut Up and Drive""",Rihanna,    133  BPM 
91,"""Snow (Hey Oh)""",Red Hot Chili Peppers,    105  BPM 
92,"""Money Maker""",Ludacris featuring Pharrell,    79  BPM 
93,"""Kiss Kiss""",Chris Brown featuring T-Pain,    140  BPM 
94,"""Far Away""",Nickelback,    133  BPM 
95,"""Rock Yo Hips""",Crime Mob and Lil' Scrappy,    77  BPM 
96,"""LoveStoned""",Justin Timberlake,NOT FOUND
97,"""Better than Me""",Hinder,    140  BPM 
98,"""Paralyzer""",Finger Eleven,    106  BPM 
99,"""That's That""",Snoop Dogg featuring R. Kelly,NOT FOUND
100,"""Same Girl""",R. Kelly featuring Usher,NOT FOUND
