No.,Title,Artist,Tempo
1,"""Tik Tok""",Kesha,    120  BPM 
2,"""Need You Now""",Lady Antebellum,    108  BPM 
3,"""Hey, Soul Sister""",Train,    97  BPM 
4,"""California Gurls""",Katy Perry featuring Snoop Dogg,    125  BPM 
5,"""OMG""",Usher featuring will.i.am,    130  BPM 
6,"""Airplanes""",B.o.B featuring Hayley Williams,NOT FOUND
7,"""Love the Way You Lie""",Eminem featuring Rihanna,    87  BPM 
8,"""Bad Romance""",Lady Gaga,    119  BPM 
9,"""Dynamite""",Taio Cruz,    120  BPM 
10,"""Break Your Heart""",Taio Cruz featuring Ludacris,    122  BPM 
11,"""Nothin' on You""",B.o.B featuring Bruno Mars,    104  BPM 
12,"""I Like It""",Enrique Iglesias featuring Pitbull,    129  BPM 
13,"""BedRock""",Young Money featuring Lloyd,    148  BPM 
14,"""In My Head""",Jason Derulo,    110  BPM 
15,"""Rude Boy""",Rihanna,    174  BPM 
16,"""Telephone""",Lady Gaga featuring Beyoncé,    122  BPM 
17,"""Teenage Dream""",Katy Perry,    120  BPM 
18,"""Just the Way You Are""",Bruno Mars,    109  BPM 
19,"""Cooler Than Me""",Mike Posner,    129  BPM 
20,"""Imma Be""",The Black Eyed Peas,    92  BPM 
21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,    174  BPM 
22,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,    120  BPM 
23,"""Billionaire""",Travie McCoy featuring Bruno Mars,    87  BPM 
24,"""Not Afraid""",Eminem,    115  BPM 
25,"""Replay""",Iyaz,    91  BPM 
26,"""Sexy Bitch""",David Guetta featuring Akon,NOT FOUND
27,"""Breakeven""",The Script,    94  BPM 
28,"""Your Love Is My Drug""",Kesha,    120  BPM 
29,"""I Gotta Feeling""",The Black Eyed Peas,    128  BPM 
30,"""Fireflies""",Owl City,    180  BPM 
31,"""Say Aah""",Trey Songz featuring Fabolous,    93  BPM 
32,"""Find Your Love""",Drake,    96  BPM 
33,"""Alejandro""",Lady Gaga,    99  BPM 
34,"""Ridin' Solo""",Jason Derulo,    90  BPM 
35,"""Just a Dream""",Nelly,    90  BPM 
36,"""How Low""",Ludacris,    144  BPM 
37,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,NOT FOUND
38,"""Carry Out""",Timbaland featuring Justin Timberlake,NOT FOUND
39,"""Haven't Met You Yet""",Michael Bublé,    123  BPM 
40,"""Club Can't Handle Me""",Flo Rida featuring David Guetta,NOT FOUND
41,"""Down""",Jay Sean featuring Lil Wayne,    66  BPM 
42,"""Bulletproof""",La Roux,    123  BPM 
43,"""Whatcha Say""",Jason Derulo,    144  BPM 
44,"""Baby""",Justin Bieber featuring Ludacris,    65  BPM 
45,"""Whataya Want from Me""",Adam Lambert,    186  BPM 
46,"""Mine""",Taylor Swift,    121  BPM 
47,"""Only Girl (In the World)""",Rihanna,    126  BPM 
48,"""Live Like We're Dying""",Kris Allen,    92  BPM 
49,"""Hard""",Rihanna featuring Jeezy,    91  BPM 
50,"""Young Forever""",Jay-Z featuring Mr Hudson,    140  BPM 
51,"""Blah Blah Blah""",Kesha featuring 3OH!3,    120  BPM 
52,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,NOT FOUND
